# Coaxial contra-rotating pair - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT a solved design. The lower rotor's inflow is the upper rotor's downwash, which is the
# whole design problem - the same issue the marine CRP file carries, and it needs a real
# solver (QPROP/XROTOR), not a table.
#
# First-order actuator-disc estimate: axial induction a = 0.5(sqrt(1+CT)-1) = 0.1021 at an
# assumed CT = 0.45. The LOWER rotor sees inflow raised by (1+a), so it needs MORE pitch to
# hold the same angle of attack: P/D 0.5 upper vs 0.5510 lower.
# Both rotors are D = 254 mm at spacing h = 0.12 D, per the brief.
#
# The brief's warning is the point: size the stack against what a coaxial pair actually
# delivers, not double a single rotor. Induced power climbs steeply as spacing shrinks and
# the pair lands well short of 2x thrust at equal power. This table does not model that -
# it only pitches the lower rotor for its own inflow.
# hand is a genuine XZ mirror, not a rotation.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
rotor,r_R,c_D,f_c,P_D,pitch_deg,hand
upper,0.150000,0.068276,0.010718,0.500000,46.696193,right
lower,0.150000,0.068276,0.010718,0.551040,49.463562,left
upper,0.192500,0.079756,0.013385,0.500000,39.583225,right
lower,0.192500,0.079756,0.013385,0.551040,42.339040,left
upper,0.235000,0.090990,0.016052,0.500000,34.108021,right
lower,0.235000,0.090990,0.016052,0.551040,36.737259,left
upper,0.277500,0.097175,0.017362,0.500000,29.835622,right
lower,0.277500,0.097175,0.017362,0.551040,32.296049,left
upper,0.320000,0.101256,0.017317,0.500000,26.443878,right
lower,0.320000,0.101256,0.017317,0.551040,28.728447,left
upper,0.362500,0.103524,0.017272,0.500000,23.703786,right
lower,0.362500,0.103524,0.017272,0.551040,25.820763,left
upper,0.405000,0.103966,0.016910,0.500000,21.453594,right
lower,0.405000,0.103966,0.016910,0.551040,23.416952,left
upper,0.447500,0.102946,0.016546,0.500000,19.578108,right
lower,0.447500,0.102946,0.016546,0.551040,21.403119,left
upper,0.490000,0.100634,0.016200,0.500000,17.994108,right
lower,0.490000,0.100634,0.016200,0.551040,19.695443,left
upper,0.532500,0.097058,0.015870,0.500000,16.640486,right
lower,0.532500,0.097058,0.015870,0.551040,18.231489,left
upper,0.575000,0.092552,0.015540,0.500000,15.471620,right
lower,0.575000,0.092552,0.015540,0.551040,16.964116,left
upper,0.617500,0.087261,0.015333,0.500000,14.452903,right
lower,0.617500,0.087261,0.015333,0.551040,15.857246,left
upper,0.660000,0.081294,0.015126,0.500000,13.557686,right
lower,0.660000,0.081294,0.015126,0.551040,14.882894,left
upper,0.702500,0.074907,0.014968,0.500000,12.765161,right
lower,0.702500,0.074907,0.014968,0.551040,14.019081,left
upper,0.745000,0.068261,0.014860,0.500000,12.058876,right
lower,0.745000,0.068261,0.014860,0.551040,13.248340,left
upper,0.787500,0.061509,0.014752,0.500000,11.425662,right
lower,0.787500,0.061509,0.014752,0.551040,12.556637,left
upper,0.830000,0.054860,0.014302,0.500000,10.854873,right
lower,0.830000,0.054860,0.014302,0.551040,11.932582,left
upper,0.872500,0.048455,0.013852,0.500000,10.337808,right
lower,0.872500,0.048455,0.013852,0.551040,11.366840,left
upper,0.915000,0.042538,0.013070,0.500000,9.867297,right
lower,0.915000,0.042538,0.013070,0.551040,10.851701,left
upper,0.957500,0.036732,0.011549,0.500000,9.437379,right
lower,0.957500,0.036732,0.011549,0.551040,10.380739,left
upper,1.000000,0.002080,0.008813,0.500000,9.043061,right
lower,1.000000,0.002080,0.008813,0.551040,9.948561,left
