# Custom carbon blade planform - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT a solved design point. The brief is explicit that this blade's planform should come
# from JavaProp, QPROP, XROTOR or JBLADE and arrive as a chord/twist CSV - "the CSV is the
# interface: a new design point is a new table, not a new script". Running one of those
# codes is out of scope here, so this is a stand-in with the SAME COLUMN SHAPE, so that a
# real solved table can replace it without touching any downstream script.
#
# Chord follows the real APC 10x5E distribution (../fixed-pitch/apc-10x5e.csv), scaled.
# Twist is blade-element: beta = atan(Va / Vt) + 4 deg angle of attack, with Va from simple
# momentum theory at the stated design point. That is a first estimate, not a solved design.
#
# DESIGN POINT (assumptions, recorded so they can be argued with):
#   thrust 12.0 N, 9000 rpm, forward speed 0.0 m/s (static),
#   rho 1.225 kg/m3, D 254 mm, Z 2.
#   Tip Mach at this rpm = 0.352 (sea level, 340.3 m/s).
# Shank: 8.0 mm diameter over 15.0 mm, a true cylinder for clamping.
# Sections are thin (12% root to 7% tip) with a SHARP trailing edge,
# per the brief - no marine TE floor applies here.
r_R,c_D,twist_deg,t_c
0.150000,0.068276,32.705078,0.120000
0.192500,0.079756,27.107976,0.117500
0.235000,0.090990,23.266125,0.115000
0.277500,0.097175,20.488731,0.112500
0.320000,0.101256,18.396279,0.110000
0.362500,0.103524,16.767216,0.107500
0.405000,0.103966,15.464906,0.105000
0.447500,0.102946,14.401023,0.102500
0.490000,0.100634,13.516151,0.100000
0.532500,0.097058,12.768949,0.097500
0.575000,0.092552,12.129812,0.095000
0.617500,0.087261,11.577006,0.092500
0.660000,0.081294,11.094233,0.090000
0.702500,0.074907,10.669033,0.087500
0.745000,0.068261,10.291727,0.085000
0.787500,0.061509,9.954682,0.082500
0.830000,0.054860,9.651800,0.080000
0.872500,0.048455,9.378153,0.077500
0.915000,0.042538,9.129713,0.075000
0.957500,0.036732,8.903159,0.072500
1.000000,0.002080,8.695727,0.070000
