# NACA 0015 - GENERATED BY cad/tools/make-aerial-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# OPEN trailing edge (-0.1015), kept sharp: the 1 mm TE floor in this repo is a
# WET-SPECIFIC marine rule and does not apply to an aerial blade.
# max camber m=0.0000 at p=0.10, thickness t=0.1500
#
# Role: symmetric blade section for the cyclorotor drum, pitch axis at 30% chord per the brief.
# Exact and re-derivable. Regenerate rather than edit.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.004335,0.000000,0.000385,0.004335,0.000385,-0.004335
0.001541,0.008596,0.000000,0.001541,0.008596,0.001541,-0.008596
0.003466,0.012778,0.000000,0.003466,0.012778,0.003466,-0.012778
0.006156,0.016879,0.000000,0.006156,0.016879,0.006156,-0.016879
0.009607,0.020894,0.000000,0.009607,0.020894,0.009607,-0.020894
0.013815,0.024817,0.000000,0.013815,0.024817,0.013815,-0.024817
0.018772,0.028644,0.000000,0.018772,0.028644,0.018772,-0.028644
0.024472,0.032367,0.000000,0.024472,0.032367,0.024472,-0.032367
0.030904,0.035979,0.000000,0.030904,0.035979,0.030904,-0.035979
0.038060,0.039475,0.000000,0.038060,0.039475,0.038060,-0.039475
0.045928,0.042845,0.000000,0.045928,0.042845,0.045928,-0.042845
0.054497,0.046083,0.000000,0.054497,0.046083,0.054497,-0.046083
0.063752,0.049181,0.000000,0.063752,0.049181,0.063752,-0.049181
0.073680,0.052132,0.000000,0.073680,0.052132,0.073680,-0.052132
0.084265,0.054927,0.000000,0.084265,0.054927,0.084265,-0.054927
0.095492,0.057561,0.000000,0.095492,0.057561,0.095492,-0.057561
0.107342,0.060026,0.000000,0.107342,0.060026,0.107342,-0.060026
0.119797,0.062317,0.000000,0.119797,0.062317,0.119797,-0.062317
0.132839,0.064428,0.000000,0.132839,0.064428,0.132839,-0.064428
0.146447,0.066354,0.000000,0.146447,0.066354,0.146447,-0.066354
0.160600,0.068091,0.000000,0.160600,0.068091,0.160600,-0.068091
0.175276,0.069636,0.000000,0.175276,0.069636,0.175276,-0.069636
0.190453,0.070987,0.000000,0.190453,0.070987,0.190453,-0.070987
0.206107,0.072143,0.000000,0.206107,0.072143,0.206107,-0.072143
0.222215,0.073102,0.000000,0.222215,0.073102,0.222215,-0.073102
0.238751,0.073865,0.000000,0.238751,0.073865,0.238751,-0.073865
0.255689,0.074434,0.000000,0.255689,0.074434,0.255689,-0.074434
0.273005,0.074810,0.000000,0.273005,0.074810,0.273005,-0.074810
0.290670,0.074998,0.000000,0.290670,0.074998,0.290670,-0.074998
0.308658,0.075000,0.000000,0.308658,0.075000,0.308658,-0.075000
0.326941,0.074822,0.000000,0.326941,0.074822,0.326941,-0.074822
0.345492,0.074468,0.000000,0.345492,0.074468,0.345492,-0.074468
0.364280,0.073946,0.000000,0.364280,0.073946,0.364280,-0.073946
0.383277,0.073262,0.000000,0.383277,0.073262,0.383277,-0.073262
0.402455,0.072422,0.000000,0.402455,0.072422,0.402455,-0.072422
0.421783,0.071435,0.000000,0.421783,0.071435,0.421783,-0.071435
0.441231,0.070309,0.000000,0.441231,0.070309,0.441231,-0.070309
0.460770,0.069051,0.000000,0.460770,0.069051,0.460770,-0.069051
0.480370,0.067670,0.000000,0.480370,0.067670,0.480370,-0.067670
0.500000,0.066175,0.000000,0.500000,0.066175,0.500000,-0.066175
0.519630,0.064575,0.000000,0.519630,0.064575,0.519630,-0.064575
0.539230,0.062878,0.000000,0.539230,0.062878,0.539230,-0.062878
0.558769,0.061093,0.000000,0.558769,0.061093,0.558769,-0.061093
0.578217,0.059229,0.000000,0.578217,0.059229,0.578217,-0.059229
0.597545,0.057294,0.000000,0.597545,0.057294,0.597545,-0.057294
0.616723,0.055296,0.000000,0.616723,0.055296,0.616723,-0.055296
0.635720,0.053244,0.000000,0.635720,0.053244,0.635720,-0.053244
0.654508,0.051147,0.000000,0.654508,0.051147,0.654508,-0.051147
0.673059,0.049011,0.000000,0.673059,0.049011,0.673059,-0.049011
0.691342,0.046845,0.000000,0.691342,0.046845,0.691342,-0.046845
0.709330,0.044657,0.000000,0.709330,0.044657,0.709330,-0.044657
0.726995,0.042453,0.000000,0.726995,0.042453,0.726995,-0.042453
0.744311,0.040241,0.000000,0.744311,0.040241,0.744311,-0.040241
0.761249,0.038029,0.000000,0.761249,0.038029,0.761249,-0.038029
0.777785,0.035824,0.000000,0.777785,0.035824,0.777785,-0.035824
0.793893,0.033631,0.000000,0.793893,0.033631,0.793893,-0.033631
0.809547,0.031460,0.000000,0.809547,0.031460,0.809547,-0.031460
0.824724,0.029315,0.000000,0.824724,0.029315,0.824724,-0.029315
0.839400,0.027204,0.000000,0.839400,0.027204,0.839400,-0.027204
0.853553,0.025134,0.000000,0.853553,0.025134,0.853553,-0.025134
0.867161,0.023111,0.000000,0.867161,0.023111,0.867161,-0.023111
0.880203,0.021143,0.000000,0.880203,0.021143,0.880203,-0.021143
0.892658,0.019234,0.000000,0.892658,0.019234,0.892658,-0.019234
0.904508,0.017393,0.000000,0.904508,0.017393,0.904508,-0.017393
0.915735,0.015625,0.000000,0.915735,0.015625,0.915735,-0.015625
0.926320,0.013936,0.000000,0.926320,0.013936,0.926320,-0.013936
0.936248,0.012334,0.000000,0.936248,0.012334,0.936248,-0.012334
0.945503,0.010822,0.000000,0.945503,0.010822,0.945503,-0.010822
