# Ducted fan duct wall - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT Schuebeler or any production EDF geometry, which is commercial. Parametric, from the
# brief's numbers. Reference for method: NASA low-noise fan design,
# https://ntrs.nasa.gov/api/citations/20230003262/downloads/20230003262%20REV%20FINAL.pdf
#
# From the brief: fan D = 90 mm, rotor Z = 5, stator V = 11, hub ratio 0.45,
#   tip clearance 0.4 mm (~0.5% of D), inlet lip radius 6 mm,
#   exit nozzle area 85% of swept area.
#
# TYLER-SOFRIN: V >= 2Z cuts off the fundamental blade-passing tone so it never propagates
# down the duct. Z = 5 sets the floor at 10, hence V = 11. Not "pick something coprime".
#
# Wall runs CYLINDRICAL across the rotor plane (x/L 0.15-0.45, 13 stations at exactly
# 1.000) so tip clearance is uniform there - the same requirement the marine Kort nozzle has.
# Exit contracts to sqrt(0.85) = 0.9220 of the fan radius, giving the area ratio.
# Radii are fractions of the FAN radius (45 mm). Sharp TE - aerial, no marine floor.
x_L,r_inner_fanR,r_outer_fanR
0.000000,1.133333,1.133338
0.025000,1.059631,1.081420
0.050000,1.033953,1.063575
0.075000,1.017863,1.052862
0.100000,1.007625,1.046649
0.125000,1.001865,1.043993
0.150000,1.000000,1.044543
0.175000,1.000000,1.046406
0.200000,1.000000,1.047813
0.225000,1.000000,1.048830
0.250000,1.000000,1.049510
0.275000,1.000000,1.049894
0.300000,1.000000,1.050014
0.325000,1.000000,1.049899
0.350000,1.000000,1.049572
0.375000,1.000000,1.049052
0.400000,1.000000,1.048358
0.425000,1.000000,1.047505
0.450000,1.000000,1.046506
0.475000,0.999531,1.044904
0.500000,0.998182,1.042299
0.525000,0.996042,1.038789
0.550000,0.993198,1.034468
0.575000,0.989739,1.029434
0.600000,0.985751,1.023779
0.625000,0.981324,1.017598
0.650000,0.976545,1.010983
0.675000,0.971503,1.004025
0.700000,0.966284,0.996816
0.725000,0.960977,0.989447
0.750000,0.955671,0.982006
0.775000,0.950452,0.974584
0.800000,0.945409,0.967268
0.825000,0.940630,0.960147
0.850000,0.936203,0.953308
0.875000,0.932216,0.946837
0.900000,0.928756,0.940821
0.925000,0.925912,0.935344
0.950000,0.923772,0.930494
0.975000,0.922424,0.926352
1.000000,0.921954,0.923004
