# Ducted fan rotor schedule, Z = 5 - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT a production EDF rotor - Schuebeler and the rest are commercial. Parametric, from the brief.
#
# THE NUMBER THIS FILE EXISTS TO PIN: the brief's 0.4 mm tip clearance on a 90 mm fan puts
# the rotor tip at r_fanR = (45 - 0.4) / 45 = 0.9911 of fan radius. Without this
# column the clearance existed only as prose, and the duct wall had nothing to be checked
# against. r_fanR is the station radius as a fraction of the FAN radius - multiply by
# 45 mm, and note duct-ordinates.csv uses the same reference so the two files compare
# directly at the rotor plane, where the wall runs exactly 1.0000.
#
# Hub ratio 0.45 per the brief - much fatter than an open propeller, because a ducted fan
# needs the hub to house the motor and to keep the annulus area sensible.
# High solidity and thin (8% t/c) sections: the duct unloads the tip, so the blade can be
# thinner than an open propeller and there is no marine thickness floor here.
# Chord follows the real APC 10x5E distribution over the inboard span, then is HELD outboard -
# a ducted rotor ends square, it does not taper to a point.
r_R,r_fanR,c_D,pitch_deg,t_c
0.450000,0.446000,0.226240,31.016474,0.080000
0.477500,0.473256,0.223085,29.536972,0.080000
0.505000,0.500511,0.218814,28.181031,0.080000
0.532500,0.527767,0.213528,26.935137,0.080000
0.560000,0.555022,0.207340,25.787461,0.080000
0.587500,0.582278,0.200365,24.727652,0.080000
0.615000,0.609533,0.192683,23.746638,0.080000
0.642500,0.636789,0.184407,22.836463,0.080000
0.670000,0.664044,0.175648,21.990136,0.080000
0.697500,0.691300,0.171633,21.201498,0.080000
0.725000,0.718556,0.171633,20.465117,0.080000
0.752500,0.745811,0.171633,19.776185,0.080000
0.780000,0.773067,0.171633,19.130441,0.080000
0.807500,0.800322,0.171633,18.524097,0.080000
0.835000,0.827578,0.171633,17.953778,0.080000
0.862500,0.854833,0.171633,17.416469,0.080000
0.890000,0.882089,0.171633,16.909472,0.080000
0.917500,0.909344,0.171633,16.430366,0.080000
0.945000,0.936600,0.171633,15.976972,0.080000
0.972500,0.963856,0.171633,15.547327,0.080000
1.000000,0.991111,0.171633,15.139658,0.080000
