# NACA 2408 - GENERATED BY cad/tools/make-aerial-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# OPEN trailing edge (-0.1015), kept sharp: the 1 mm TE floor in this repo is a
# WET-SPECIFIC marine rule and does not apply to an aerial blade.
# max camber m=0.0200 at p=0.40, thickness t=0.0800
#
# Role: thin high-solidity rotor section. 8% thick: a ducted fan rotor is thinner than an open propeller because the duct unloads the tip.
# Exact and re-derivable. Regenerate rather than edit.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.002312,0.000039,0.000156,0.002339,0.000615,-0.002262
0.001541,0.004584,0.000154,0.001087,0.004716,0.001996,-0.004408
0.003466,0.006815,0.000345,0.002793,0.007127,0.004138,-0.006437
0.006156,0.009002,0.000611,0.005274,0.009570,0.007038,-0.008348
0.009607,0.011143,0.000949,0.008525,0.012040,0.010690,-0.010142
0.013815,0.013236,0.001358,0.012543,0.014532,0.015087,-0.011817
0.018772,0.015277,0.001833,0.017323,0.017041,0.020222,-0.013375
0.024472,0.017262,0.002372,0.022858,0.019559,0.026085,-0.014814
0.030904,0.019189,0.002971,0.029141,0.022079,0.032667,-0.016137
0.038060,0.021053,0.003625,0.036163,0.024592,0.039957,-0.017343
0.045928,0.022851,0.004329,0.043914,0.027091,0.047943,-0.018433
0.054497,0.024578,0.005078,0.052382,0.029565,0.056612,-0.019408
0.063752,0.026230,0.005867,0.061555,0.032005,0.065949,-0.020271
0.073680,0.027804,0.006689,0.071419,0.034401,0.075941,-0.021022
0.084265,0.029295,0.007539,0.081960,0.036743,0.086570,-0.021665
0.095492,0.030699,0.008409,0.093161,0.039020,0.097822,-0.022201
