# NACA 4412 - GENERATED BY cad/tools/make-aerial-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# OPEN trailing edge (-0.1015), kept sharp: the 1 mm TE floor in this repo is a
# WET-SPECIFIC marine rule and does not apply to an aerial blade.
# max camber m=0.0400 at p=0.40, thickness t=0.1200
#
# Role: cambered stator vane, V = 11. Camber is what recovers rotor swirl; a symmetric vane would straighten nothing.
# Exact and re-derivable. Regenerate rather than edit.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.003468,0.000077,-0.000294,0.003478,0.001065,-0.003324
0.001541,0.006877,0.000308,0.000198,0.007052,0.002885,-0.006437
0.003466,0.010223,0.000690,0.001478,0.010718,0.005454,-0.009337
0.006156,0.013503,0.001222,0.003547,0.014471,0.008765,-0.012027
0.009607,0.016715,0.001898,0.006405,0.018304,0.012810,-0.014507
0.013815,0.019854,0.002715,0.010051,0.022209,0.017579,-0.016779
0.018772,0.022915,0.003666,0.014482,0.026176,0.023063,-0.018843
0.024472,0.025893,0.004745,0.019693,0.030193,0.029250,-0.020704
0.030904,0.028783,0.005942,0.025681,0.034248,0.036128,-0.022363
0.038060,0.031580,0.007250,0.032437,0.038325,0.043684,-0.023825
0.045928,0.034276,0.008658,0.039953,0.042410,0.051904,-0.025093
0.054497,0.036867,0.010157,0.048221,0.046485,0.060773,-0.026172
0.063752,0.039345,0.011734,0.057229,0.050535,0.070275,-0.027066
0.073680,0.041705,0.013379,0.066964,0.054540,0.080396,-0.027782
0.084265,0.043942,0.015078,0.077413,0.058482,0.091117,-0.028326
0.095492,0.046049,0.016819,0.088560,0.062343,0.102423,-0.028706
0.107342,0.048021,0.018588,0.100389,0.066103,0.114294,-0.028927
0.119797,0.049854,0.020372,0.112880,0.069743,0.126714,-0.029000
0.132839,0.051542,0.022156,0.126014,0.073245,0.139663,-0.028932
0.146447,0.053083,0.023928,0.139770,0.076589,0.153123,-0.028734
0.160600,0.054473,0.025672,0.154125,0.079759,0.167074,-0.028415
0.175276,0.055709,0.027375,0.169056,0.082736,0.181496,-0.027986
0.190453,0.056790,0.029023,0.184535,0.085503,0.196371,-0.027458
0.206107,0.057714,0.030601,0.200538,0.088046,0.211676,-0.026843
0.222215,0.058481,0.032098,0.217037,0.090350,0.227393,-0.026154
0.238751,0.059092,0.033500,0.234002,0.092400,0.243500,-0.025401
0.255689,0.059547,0.034794,0.251404,0.094186,0.259975,-0.024599
0.273005,0.059848,0.035968,0.269212,0.095696,0.276797,-0.023760
0.290670,0.059998,0.037012,0.287395,0.096920,0.293945,-0.022897
0.308658,0.060000,0.037914,0.305921,0.097852,0.311396,-0.022023
0.326941,0.059857,0.038666,0.324756,0.098483,0.329127,-0.021152
0.345492,0.059575,0.039257,0.343868,0.098810,0.347115,-0.020295
0.364280,0.059157,0.039681,0.363223,0.098829,0.365336,-0.019467
0.383277,0.058609,0.039930,0.382787,0.098537,0.383767,-0.018677
0.402455,0.057938,0.039999,0.402486,0.097937,0.402423,-0.017938
0.421783,0.057148,0.039947,0.422059,0.097095,0.421506,-0.017200
0.441231,0.056247,0.039811,0.441747,0.096056,0.440716,-0.016433
0.460770,0.055241,0.039590,0.461516,0.094825,0.460025,-0.015646
0.480370,0.054136,0.039282,0.481337,0.093410,0.479403,-0.014845
0.500000,0.052940,0.038889,0.501176,0.091816,0.498824,-0.014038
0.519630,0.051660,0.038410,0.521003,0.090052,0.518257,-0.013232
0.539230,0.050302,0.037846,0.540785,0.088125,0.537674,-0.012432
0.558769,0.048874,0.037199,0.560492,0.086043,0.557045,-0.011645
0.578217,0.047383,0.036471,0.580092,0.083817,0.576342,-0.010875
0.597545,0.045835,0.035664,0.599555,0.081455,0.595535,-0.010127
0.616723,0.044237,0.034781,0.618851,0.078967,0.614595,-0.009404
0.635720,0.042596,0.033826,0.637948,0.076363,0.633492,-0.008711
