# Ducted fan stator vane set, V = 11 - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT a production EDF stator. Vane spacing and stagger here are parametric; the count is the
# part that follows a real rule.
#
# The vane COUNT is the design decision and it is not arbitrary. Tyler-Sofrin: V >= 2Z cuts off
# the fundamental blade-passing tone so it never propagates down the duct, and V >= 4Z holds
# that through the second harmonic. Z = 5 sets the floor at 10, hence V = 11. This is not
# "pick something coprime" - see the NASA low-noise fan design methods cited in the brief.
#
# Vanes are evenly spaced at 32.727 deg, run from the hub (0.45) to the duct wall (1.0), and
# carry the motor pod - so they are structural as well as aerodynamic. Section is in
# stator-vane-naca4412.csv; stagger is the angle the chord makes with the axis.
# Vanes sit DOWNSTREAM of the rotor, per the brief.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
vane,angle_deg,r_inner_fanR,r_outer_fanR,stagger_deg
0,0.000000,0.450000,1.000000,25.000000
1,32.727273,0.450000,1.000000,25.000000
2,65.454545,0.450000,1.000000,25.000000
3,98.181818,0.450000,1.000000,25.000000
4,130.909091,0.450000,1.000000,25.000000
5,163.636364,0.450000,1.000000,25.000000
6,196.363636,0.450000,1.000000,25.000000
7,229.090909,0.450000,1.000000,25.000000
8,261.818182,0.450000,1.000000,25.000000
9,294.545455,0.450000,1.000000,25.000000
10,327.272727,0.450000,1.000000,25.000000
