# APC 10x5E blade geometry - REAL MEASURED/MOULD GEOMETRY, transcribed verbatim.
#
# Source: APC Propellers, file PE0-FILES_WEB/10x5E-PERF.PE0 from
#   https://www.apcprop.com/wp-content/uploads/2026/02/PE0-FILES_WEB-202602.zipx
#   (linked from the UIUC propeller database as the geometry source for APC props).
#   File header: "10x5E (10x5E.dat)", v2025-1001, simulation date 02/24/2026.
#   Downloaded and transcribed 2026-09-10. 51 stations, verbatim, no interpolation.
#
# NOTE the archive is a WinZip .zipx using LZMA (method 14). System `unzip` refuses it
# ("need PK compat v6.3"); Python's zipfile reads it fine. See fetch-geometry.sh.
#
# WHY THIS ONE: the aerial fixed-pitch brief specifies D = 254 mm (10 in), P = 127 mm (5 in),
# Z = 2. This is exactly that propeller, and it is the manufacturer's own mould geometry
# rather than a series table or a guess.
#
# APC's own definitions, from the file:
#   PITCH (QUOTED)   angular measure defined with a flat bottom surface (= input pitch)
#   PITCH (LE-TE)    defined by leading- and trailing-edge mould parting-line datums
#   PITCH (PRATHER)  what a pitch gauge resting on the lower surface would read
#   SWEEP(Y)/RAKE(Z) defined with the mould LE parting line
#   TWIST            defined with the LE and TE mould parting-line datums
#   CHORD            length between the LE and TE mould parting lines
#   ZHIGH            highest elevation on the top surface
#   CGY / CGZ        mass offset, fore-aft and elevation
#
# Lengths in INCHES as published. r_R and c_D added here for convenience:
#   r_R = station / 5.0 in,  c_D = chord / 10.0 in.  D = 10.0 in = 254.0 mm.
#
# CAUTION - thickness ratio at the root is 0.40, i.e. 40%, falling to 0.0998 at the tip.
# The brief assumes "t/c 14% at the root tapering to 9% at the tip". The real blade is far
# thicker inboard because the aerofoil blends into the hub boss there. Trust this file over
# the brief's figure, and do not loft the inboard stations as if they were aerofoils.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  as labelled per column. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
r_R,station_in,c_D,chord_in,pitch_quoted_in,pitch_le_te_in,pitch_prather_in,sweep_y_in,rake_z_in,thickness_ratio,twist_deg,max_thick_in,cross_section_in2,zhigh_in,cgy_in,cgz_in
0.000000,0.0000,0.080000,0.8000,2.1503,0.0000,0.0000,0.4000,0.0000,0.4000,0.0000,0.3200,0.0000,0.0450,0.0000,0.0000
0.019000,0.0950,0.076650,0.7665,2.4719,0.0089,-0.4120,0.3948,0.0061,0.3974,0.8509,0.3046,0.2060,0.0500,0.0068,-0.1003
0.038000,0.1900,0.072650,0.7265,2.7742,0.0700,-0.8065,0.3890,0.0228,0.3896,3.3567,0.2830,0.1994,0.0636,0.0218,-0.0919
0.057000,0.2850,0.068670,0.6867,3.0572,0.2347,-1.1013,0.3833,0.0470,0.3765,7.4669,0.2586,0.1885,0.0829,0.0390,-0.0787
0.076000,0.3800,0.065440,0.6544,3.3210,0.5515,-1.1494,0.3783,0.0761,0.3583,13.0073,0.2344,0.1695,0.1055,0.0573,-0.0614
0.095000,0.4750,0.063580,0.6358,3.5656,1.0558,-0.8383,0.3744,0.1073,0.3348,19.4815,0.2129,0.1471,0.1300,0.0750,-0.0416
0.114000,0.5700,0.063510,0.6351,3.7909,1.7508,-0.1077,0.3723,0.1380,0.3063,26.0526,0.1945,0.1252,0.1550,0.0906,-0.0210
0.133000,0.6650,0.065270,0.6527,3.9970,2.5840,0.9980,0.3723,0.1657,0.2780,31.7340,0.1815,0.1064,0.1784,0.1026,-0.0014
0.152000,0.7600,0.068630,0.6863,4.1838,3.4326,2.2773,0.3751,0.1877,0.2527,35.7096,0.1734,0.0922,0.1978,0.1099,0.0154
0.171000,0.8550,0.073260,0.7326,4.3514,4.1242,3.3172,0.3811,0.2015,0.2300,37.5136,0.1685,0.0841,0.2106,0.1111,0.0265
0.190000,0.9500,0.078980,0.7898,4.4998,4.4978,3.8788,0.3908,0.2043,0.2100,36.9991,0.1658,0.0839,0.2139,0.1035,0.0277
0.209340,1.0467,0.084980,0.8498,4.6311,4.6311,4.0775,0.4026,0.1991,0.1920,35.1520,0.1631,0.0885,0.2102,0.0897,0.0211
0.234560,1.1728,0.090920,0.9092,4.7722,4.7722,4.3026,0.4158,0.1909,0.1720,32.9287,0.1564,0.0906,0.2038,0.0756,0.0153
0.260100,1.3005,0.095010,0.9501,4.8807,4.8807,4.4931,0.4268,0.1812,0.1553,30.8497,0.1476,0.0895,0.1956,0.0651,0.0112
0.285660,1.4283,0.098190,0.9819,4.9544,4.9544,4.6389,0.4354,0.1698,0.1420,28.9023,0.1394,0.0879,0.1858,0.0550,0.0067
