# Clark-Y aerofoil coordinates - REAL, transcribed verbatim.
#
# Source: UIUC Airfoil Coordinates Database, https://m-selig.ae.illinois.edu/ads/coord/clarky.dat
#   File header: "CLARK Y AIRFOIL", then "61.0  61.0" = 61 upper points, 61 lower points.
#   Downloaded 2026-09-10. 122 coordinate pairs (61 upper + 61 lower), verbatim.
#
# FORMAT IS LEDNICER, NOT SELIG. Both surfaces run LEADING EDGE -> TRAILING EDGE, upper
# surface first, then lower. Do not feed this to a tool expecting Selig order (TE over the
# top to LE and back) - the section will come out inside-out. The `surface` column below
# disambiguates; the first 61 rows are upper, the remainder lower.
#
# Clark-Y is the brief's first choice for the low-Re fixed-pitch blade: flat lower surface,
# ~11.7% thick, and the section APC's own blades approximate over the outer span.
# x,y are fractions of chord.
surface,x_c,y_c
upper,0.0000000,0.0000000
upper,0.0005000,0.0023390
upper,0.0010000,0.0037271
upper,0.0020000,0.0058025
upper,0.0040000,0.0089238
upper,0.0080000,0.0137350
upper,0.0120000,0.0178581
upper,0.0200000,0.0253735
upper,0.0300000,0.0330215
upper,0.0400000,0.0391283
upper,0.0500000,0.0442753
upper,0.0600000,0.0487571
upper,0.0800000,0.0564308
upper,0.1000000,0.0629981
upper,0.1200000,0.0686204
upper,0.1400000,0.0734360
upper,0.1600000,0.0775707
upper,0.1800000,0.0810687
upper,0.2000000,0.0839202
upper,0.2200000,0.0861433
upper,0.2400000,0.0878308
upper,0.2600000,0.0890840
upper,0.2800000,0.0900016
upper,0.3000000,0.0906804
upper,0.3200000,0.0911857
upper,0.3400000,0.0915079
upper,0.3600000,0.0916266
upper,0.3800000,0.0915212
upper,0.4000000,0.0911712
upper,0.4200000,0.0905657
upper,0.4400000,0.0897175
upper,0.4600000,0.0886427
upper,0.4800000,0.0873572
upper,0.5000000,0.0858772
upper,0.5200000,0.0842145
upper,0.5400000,0.0823712
upper,0.5600000,0.0803480
upper,0.5800000,0.0781451
upper,0.6000000,0.0757633
upper,0.6200000,0.0732055
upper,0.6400000,0.0704822
upper,0.6600000,0.0676046
upper,0.6800000,0.0645843
upper,0.7000000,0.0614329
upper,0.7200000,0.0581599
upper,0.7400000,0.0547675
upper,0.7600000,0.0512565
upper,0.7800000,0.0476281
upper,0.8000000,0.0438836
upper,0.8200000,0.0400245
upper,0.8400000,0.0360536
upper,0.8600000,0.0319740
upper,0.8800000,0.0277891
upper,0.9000000,0.0235025
upper,0.9200000,0.0191156
upper,0.9400000,0.0146239
upper,0.9600000,0.0100232
upper,0.9700000,0.0076868
upper,0.9800000,0.0053335
upper,0.9900000,0.0029690
upper,1.0000000,0.0005993
lower,0.0000000,0.0000000
lower,0.0005000,-0.0046700
lower,0.0010000,-0.0059418
lower,0.0020000,-0.0078113
lower,0.0040000,-0.0105126
lower,0.0080000,-0.0142862
lower,0.0120000,-0.0169733
lower,0.0200000,-0.0202723
lower,0.0300000,-0.0226056
lower,0.0400000,-0.0245211
lower,0.0500000,-0.0260452
lower,0.0600000,-0.0271277
lower,0.0800000,-0.0284595
lower,0.1000000,-0.0293786
lower,0.1200000,-0.0299633
lower,0.1400000,-0.0302404
lower,0.1600000,-0.0302546
lower,0.1800000,-0.0300490
lower,0.2000000,-0.0296656
lower,0.2200000,-0.0291445
lower,0.2400000,-0.0285181
lower,0.2600000,-0.0278164
lower,0.2800000,-0.0270696
lower,0.3000000,-0.0263079
lower,0.3200000,-0.0255565
lower,0.3400000,-0.0248176
lower,0.3600000,-0.0240870
lower,0.3800000,-0.0233606
lower,0.4000000,-0.0226341
lower,0.4200000,-0.0219042
lower,0.4400000,-0.0211708
lower,0.4600000,-0.0204353
lower,0.4800000,-0.0196986
lower,0.5000000,-0.0189619
lower,0.5200000,-0.0182262
lower,0.5400000,-0.0174914
lower,0.5600000,-0.0167572
lower,0.5800000,-0.0160232
lower,0.6000000,-0.0152893
lower,0.6200000,-0.0145551
lower,0.6400000,-0.0138207
lower,0.6600000,-0.0130862
lower,0.6800000,-0.0123515
lower,0.7000000,-0.0116169
lower,0.7200000,-0.0108823
lower,0.7400000,-0.0101478
lower,0.7600000,-0.0094133
lower,0.7800000,-0.0086788
lower,0.8000000,-0.0079443
lower,0.8200000,-0.0072098
lower,0.8400000,-0.0064753
lower,0.8600000,-0.0057408
lower,0.8800000,-0.0050063
lower,0.9000000,-0.0042718
lower,0.9200000,-0.0035373
lower,0.9400000,-0.0028028
lower,0.9600000,-0.0020683
lower,0.9700000,-0.0017011
lower,0.9800000,-0.0013339
lower,0.9900000,-0.0009666
lower,1.0000000,-0.0005993
