# Q-tip bend path - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT Hartzell Q-Tip geometry, which is proprietary. Parametric, from the brief.
#
# From the brief: bend starts at r/R = 0.92, bend radius 8 mm, D = 254 mm.
# ANGLE IS DERIVED, NOT TAKEN FROM THE BRIEF: theta = span / radius = 72.766 deg, against the
# brief's stated 75 deg. The brief gives three constraints for two degrees of freedom and
# they disagree by 3.1%; radius and span are the pair that fix real geometry, so the angle
# yields. Arc length and developed span now agree exactly by construction. The outer span is swept along this path; the brief is explicit that you
# BEND the geometry rather than cutting a tip off and gluing it on, or chord and thickness
# step at the joint.
#
# THE NUMBER THE BRIEF ASKS FOR: projected (swept-disc) radius after the bend is
#   0.9802 R against a developed 1.0000 R -> projected diameter 249.0 mm vs 254 mm developed.
# That 2.0% disc reduction IS the trade: ground clearance and tip noise bought with disc area.
#
# r_developed is arc position along the blade; r_projected is the radius that actually sweeps.
# z_R is aft displacement as a fraction of R (negative = aft).
u,r_developed_R,r_projected_R,z_R,bend_deg
0.000000,0.920000,0.920000,-0.000000,0.000000
0.040000,0.923200,0.923199,-0.000081,2.910626
0.080000,0.926400,0.926389,-0.000325,5.821251
0.120000,0.929600,0.929563,-0.000730,8.731877
0.160000,0.932800,0.932712,-0.001296,11.642502
0.200000,0.936000,0.935829,-0.002021,14.553128
0.240000,0.939200,0.938904,-0.002903,17.463754
0.280000,0.942400,0.941931,-0.003941,20.374379
0.320000,0.945600,0.944901,-0.005131,23.285005
0.360000,0.948800,0.947807,-0.006470,26.195630
0.400000,0.952000,0.950641,-0.007955,29.106256
0.440000,0.955200,0.953396,-0.009582,32.016882
0.480000,0.958400,0.956065,-0.011346,34.927507
0.520000,0.961600,0.958641,-0.013244,37.838133
0.560000,0.964800,0.961118,-0.015271,40.748758
0.600000,0.968000,0.963488,-0.017420,43.659384
0.640000,0.971200,0.965746,-0.019687,46.570010
0.680000,0.974400,0.967886,-0.022066,49.480635
0.720000,0.977600,0.969902,-0.024550,52.391261
0.760000,0.980800,0.971790,-0.027134,55.301886
0.800000,0.984000,0.973544,-0.029810,58.212512
0.840000,0.987200,0.975160,-0.032571,61.123138
0.880000,0.990400,0.976633,-0.035412,64.033763
0.920000,0.993600,0.977961,-0.038323,66.944389
0.960000,0.996800,0.979139,-0.041298,69.855014
1.000000,1.000000,0.980164,-0.044329,72.765640
