# Contra-rotating pair, forward and aft discs - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT the Wageningen contra-rotating series (van Manen / Oosterveld, 1968) and NOT a
# lifting-line solution.
#
# CAVEAT - READ THIS BEFORE BUILDING. The aft disc's pitch is the whole design problem of a
# CRP: it runs inside the forward disc's slipstream, so its inflow is neither free-stream nor
# knowable from a table. The value here comes from a FIRST-ORDER ACTUATOR-DISC estimate:
#   axial induction  a = 0.5(sqrt(1+CT) - 1) = 0.1325  at an assumed thrust loading CT = 0.60
#   aft pitch ratio  P/D_aft = P/D_fwd * (1+a) / (1 + 0.35a) = 1.0823
# The (1 + 0.35a) term is the swirl the aft disc recovers by turning the opposite way, which
# partially offsets the raised axial inflow. Both CT and the 0.35 are ASSUMPTIONS.
#
# Replace this with an OpenProp (https://www.epps.com/openprop) lifting-line run before
# anything is built for real. Swirl recovery is the entire reason a CRP exists; a table cannot
# supply it, and treating these numbers as designed rather than estimated would hide that.
#
# From the brief: forward D = 250 mm Z = 4; aft D = 0.9 x forward,
#   Z = 5 (coprime with 4), axial gap 0.25 D, opposite handedness.
# Achieved Ae/Ao: forward 0.5500, aft 0.5500.
# d_scale multiplies the forward diameter. hand is the rotation sense - a genuine XZ mirror.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
disc,Z,d_scale,r_R,c_D,t_D,f_c,P_D_own,pitch_abs_D,pitch_deg,fillet_r_D,hand
forward,4,1.000000,0.200000,0.219503,0.045000,0.014290,1.000000,1.000000,57.858092,0.020000,right
forward,4,1.000000,0.250000,0.234080,0.042406,0.018735,1.000000,1.000000,51.853974,0.014088,right
forward,4,1.000000,0.300000,0.248656,0.039813,0.023180,1.000000,1.000000,46.696193,0.008911,right
forward,4,1.000000,0.350000,0.263164,0.037219,0.023105,1.000000,1.000000,42.285165,0.004593,right
forward,4,1.000000,0.400000,0.277672,0.034625,0.023030,1.000000,1.000000,38.511887,0.001361,right
forward,4,1.000000,0.450000,0.289470,0.032031,0.022425,1.000000,1.000000,35.273881,0.000000,right
forward,4,1.000000,0.500000,0.301268,0.029438,0.021820,1.000000,1.000000,32.481637,0.000000,right
forward,4,1.000000,0.550000,0.308745,0.026844,0.021270,1.000000,1.000000,30.059909,0.000000,right
forward,4,1.000000,0.600000,0.316222,0.024250,0.020720,1.000000,1.000000,27.946687,0.000000,right
forward,4,1.000000,0.650000,0.316633,0.021656,0.020375,1.000000,1.000000,26.091339,0.000000,right
forward,4,1.000000,0.700000,0.317045,0.019063,0.020030,1.000000,1.000000,24.452642,0.000000,right
forward,4,1.000000,0.750000,0.307613,0.016469,0.019850,1.000000,1.000000,22.997008,0.000000,right
forward,4,1.000000,0.800000,0.298181,0.013875,0.019670,1.000000,1.000000,21.696984,0.000000,right
forward,4,1.000000,0.850000,0.273007,0.011281,0.018920,1.000000,1.000000,20.530032,0.000000,right
forward,4,1.000000,0.900000,0.247833,0.008687,0.018170,1.000000,1.000000,19.477549,0.000000,right
forward,4,1.000000,0.950000,0.190350,0.006094,0.016310,1.000000,1.000000,18.524097,0.000000,right
forward,4,1.000000,1.000000,0.040000,0.006000,0.011750,1.000000,1.000000,17.656787,0.000000,right
aft,5,0.900000,0.200000,0.175398,0.045000,0.014290,1.202535,1.082282,62.413159,0.020000,left
aft,5,0.900000,0.250000,0.187046,0.042406,0.018735,1.202535,1.082282,56.850695,0.014088,left
aft,5,0.900000,0.300000,0.198693,0.039813,0.023180,1.202535,1.082282,51.912694,0.008911,left
aft,5,0.900000,0.350000,0.210286,0.037219,0.023105,1.202535,1.082282,47.561258,0.004593,left
aft,5,0.900000,0.400000,0.221879,0.034625,0.023030,1.202535,1.082282,43.739692,0.001361,left
aft,5,0.900000,0.450000,0.231307,0.032031,0.022425,1.202535,1.082282,40.385139,0.000000,left
aft,5,0.900000,0.500000,0.240734,0.029438,0.021820,1.202535,1.082282,37.436137,0.000000,left
aft,5,0.900000,0.550000,0.246709,0.026844,0.021270,1.202535,1.082282,34.836429,0.000000,left
aft,5,0.900000,0.600000,0.252683,0.024250,0.020720,1.202535,1.082282,32.536437,0.000000,left
aft,5,0.900000,0.650000,0.253012,0.021656,0.020375,1.202535,1.082282,30.493426,0.000000,left
aft,5,0.900000,0.700000,0.253341,0.019063,0.020030,1.202535,1.082282,28.671023,0.000000,left
aft,5,0.900000,0.750000,0.245804,0.016469,0.019850,1.202535,1.082282,27.038482,0.000000,left
aft,5,0.900000,0.800000,0.238268,0.013875,0.019670,1.202535,1.082282,25.569879,0.000000,left
aft,5,0.900000,0.850000,0.218152,0.011281,0.018920,1.202535,1.082282,24.243372,0.000000,left
aft,5,0.900000,0.900000,0.198036,0.008687,0.018170,1.202535,1.082282,23.040524,0.000000,left
aft,5,0.900000,0.950000,0.152103,0.006094,0.016310,1.202535,1.082282,21.945741,0.000000,left
aft,5,0.900000,1.000000,0.040000,0.006000,0.011750,1.202535,1.082282,20.945787,0.000000,left
