# Controllable-pitch (CPP) hub - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT a manufacturer's hub. Dimensioned from standard RATIOS, which is the method, not a
# transcription: marine shaft tapers run about 1:10 to 1:15 (1:12 used here) and parallel
# keys are proportioned off the bore in the manner of DIN 6885 / BS 46. Confirm against the
# actual shaft and key standard before cutting metal.
#
# The brief's default hub is "a truncated cone with a keyed taper bore"; it gives no
# dimensions, so these are derived from the design's own hub ratio. Larger diameter forward,
# bore tapering the same way, so the propeller seats and locks under thrust.
#
# Hub ratio 0.3 of D = 250.0 mm. Fat hub: it has to contain the pitch mechanism. Palm bores and O-ring grooves are separate.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
parameter,value,unit,note
hub_diameter_at_prop_plane,75.000000,mm,hub ratio 0.3
hub_length,75.000000,mm,0.30 D
hub_dia_forward,77.500000,mm,outer cone taper 0.0667 on dia
hub_dia_aft,72.500000,mm,truncated cone - larger forward
bore_dia_mean,41.250000,mm,0.55 x hub diameter
bore_dia_forward,44.375000,mm,taper 0.0833 on dia (1:12)
bore_dia_aft,38.125000,mm,taper bore - larger forward
keyway_width,10.310000,mm,0.25 x bore - parallel key per DIN 6885 practice
keyway_depth,5.160000,mm,0.5 x keyway width - in the hub
wall_min,16.562000,mm,hub wall per side at the fwd end
