# Ka 4-70 blade planform for the Kort nozzle - chord SYNTHETIC, thickness REAL.
# GENERATED BY cad/tools/make-geometry.py
#
# NOT a complete Ka-series blade. The Ka chord law is c(r) = K(r) * D * EAR / Z, and the K(r)
# table is NOT IN SOURCE - the 2009 paper that carries the rest of the Ka data misnumbers its
# own cross-reference to it. So:
#   t_D and Xtmax_cr are READ from the real ka-thickness.csv in this folder.
#   c_D is SYNTHETIC - a wide-tip distribution scaled to hit the brief's Ae/Ao.
# Fetch Oosterveld (1970) to replace the chord column with the real K(r).
#
# From the brief: D = 250 mm, Z = 4, Ae/Ao = 0.7, P/D = 1.0,
#   nozzle inner Ø 250, tip clearance 1.5 mm.
#   Achieved Ae/Ao = 0.7000.
#
# THE TIP IS SQUARE AND PINNED. r_tip_mm = r_R * 123.5000, so the outermost station
# lands at exactly 123.5 mm - nozzle bore 125.0 minus the 1.5 mm gap. Chord is HELD
# near the tip (tip/peak 0.80); a Ka blade ends square close to the wall and must not be
# faired to a point. Rake is zero: the Ka series has no rake, per ka-thickness.csv.
# Xtmax_cr is the chordwise position of maximum thickness, needed to place the Ka section.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
r_R,r_tip_mm,c_D,P_D,pitch_deg,t_D,Xtmax_cr,skew_deg,rake_z_D
0.265000,32.727500,0.309032,1.000000,50.221872,0.035200,0.398000,0.000000,0.000000
0.317500,39.211250,0.335449,1.000000,45.072983,0.034290,0.408850,0.000000,0.000000
0.370000,45.695000,0.335954,1.000000,40.705311,0.031560,0.441400,0.000000,0.000000
0.422500,52.178750,0.356810,1.000000,36.994230,0.028762,0.466975,0.000000,0.000000
0.475000,58.662500,0.376720,1.000000,33.827071,0.025875,0.483250,0.000000,0.000000
0.527500,65.146250,0.394580,1.000000,31.108086,0.022987,0.493475,0.000000,0.000000
0.580000,71.630000,0.407534,1.000000,28.758427,0.020100,0.498200,0.000000,0.000000
0.632500,78.113750,0.418852,1.000000,26.714134,0.017310,0.500000,0.000000,0.000000
0.685000,84.597500,0.419475,1.000000,24.923632,0.014580,0.500000,0.000000,0.000000
0.737500,91.081250,0.416373,1.000000,23.345348,0.012075,0.500000,0.000000,0.000000
0.790000,97.565000,0.402096,1.000000,21.945684,0.009660,0.500000,0.000000,0.000000
0.842500,104.048750,0.375903,1.000000,20.697362,0.007883,0.500000,0.000000,0.000000
0.895000,110.532500,0.337795,1.000000,19.578108,0.006255,0.500000,0.000000,0.000000
0.947500,117.016250,0.335954,1.000000,18.569625,0.005577,0.500000,0.000000,0.000000
1.000000,123.500000,0.335954,1.000000,17.656787,0.005000,0.500000,0.000000,0.000000
