# Fixed-pitch (FPP) blade planform - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Wageningen B-series. The brief asks for B4-55 offsets; those tables are copyrighted and
# could not be obtained. This is a parametric blade at the brief's OWN parameters, so a model
# can be built and checked - but it is not the B-series and must not be reported as such.
# A real, measured alternative sits alongside in dtmb4119.csv (DTMB 4119, Z=3, no skew).
#
# From the brief: D = 250 mm, Z = 4, P/D = 1.0, Ae/Ao = 0.55,
#   hub ratio 0.167, rake 15.0 deg.
# Chord schedule scaled to hit the area ratio: achieved Ae/Ao = 0.5500 against 0.55.
# Constant-pitch blade: pitch_deg = atan(P/D / (pi * r/R)), quoted P/D held at every station.
# Modest skew included so the baseline is not degenerate; skewed/ is where skew is the variable.
r_R,c_D,P_D,pitch_deg,t_D,rake_z_D,skew_deg
0.167000,0.210767,1.000000,62.316431,0.045000,0.044748,0.000000
0.219062,0.224763,1.000000,55.464052,0.042406,0.058698,0.156250
0.271125,0.238759,1.000000,49.576828,0.039813,0.072648,0.441942
0.323187,0.252690,1.000000,44.564361,0.037219,0.086598,0.811899
0.375250,0.266620,1.000000,40.306637,0.034625,0.100548,1.250000
0.427312,0.277949,1.000000,36.682840,0.032031,0.114498,1.746928
0.479375,0.289278,1.000000,33.584566,0.029438,0.128448,2.296397
0.531438,0.296457,1.000000,30.919928,0.026844,0.142398,2.893790
0.583500,0.303636,1.000000,28.613272,0.024250,0.156348,3.535534
0.635563,0.304031,1.000000,26.603164,0.021656,0.170298,4.218750
0.687625,0.304426,1.000000,24.839986,0.019063,0.184249,4.941059
0.739688,0.295370,1.000000,23.283671,0.016469,0.198199,5.700449
0.791750,0.286314,1.000000,21.901771,0.013875,0.212149,6.495191
0.843812,0.262141,1.000000,20.667891,0.011281,0.226099,7.323776
0.895875,0.237969,1.000000,19.560438,0.008688,0.240049,8.184876
0.947937,0.182774,1.000000,18.561642,0.006094,0.253999,9.077305
1.000000,0.040000,1.000000,17.656787,0.006000,0.267949,10.000000
