# NACA 0015 - GENERATED BY cad/tools/make-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# Closed form (-0.1036), then blunted to a finite TE. x,y are fractions of chord.
# max camber m=0.0000 at p=0.10, thickness t=0.1500
#
# Role: symmetric section for the pod-to-hull strut. Brief specifies a symmetric strut section.
#
# TRAILING EDGE IS BLUNTED, deliberately. The classic open-TE form leaves an
# arbitrary ~0.17% residue - at this chord that is a knife edge, and the underwater
# brief forbids it: 'hold a minimum TE thickness (1 mm at this scale) so the blade is
# castable and printable.' So the closed form (-0.1036) is used and 1.0 mm of TE is
# added linearly over a 60 mm chord. Scale the chord and the TE scales with it.
# Exact and re-derivable. Regenerate rather than edit.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.004339,0.000000,0.000385,0.004339,0.000385,-0.004339
0.001541,0.008609,0.000000,0.001541,0.008609,0.001541,-0.008609
0.003466,0.012807,0.000000,0.003466,0.012807,0.003466,-0.012807
0.006156,0.016931,0.000000,0.006156,0.016931,0.006156,-0.016931
0.009607,0.020974,0.000000,0.009607,0.020974,0.009607,-0.020974
0.013815,0.024932,0.000000,0.013815,0.024932,0.013815,-0.024932
0.018772,0.028800,0.000000,0.018772,0.028800,0.018772,-0.028800
0.024472,0.032571,0.000000,0.024472,0.032571,0.024472,-0.032571
0.030904,0.036237,0.000000,0.030904,0.036237,0.030904,-0.036237
0.038060,0.039792,0.000000,0.038060,0.039792,0.038060,-0.039792
0.045928,0.043228,0.000000,0.045928,0.043228,0.045928,-0.043228
0.054497,0.046537,0.000000,0.054497,0.046537,0.054497,-0.046537
0.063752,0.049712,0.000000,0.063752,0.049712,0.063752,-0.049712
0.073680,0.052746,0.000000,0.073680,0.052746,0.073680,-0.052746
0.084265,0.055630,0.000000,0.084265,0.055630,0.084265,-0.055630
0.095492,0.058357,0.000000,0.095492,0.058357,0.095492,-0.058357
0.107342,0.060921,0.000000,0.107342,0.060921,0.107342,-0.060921
0.119797,0.063315,0.000000,0.119797,0.063315,0.119797,-0.063315
0.132839,0.065535,0.000000,0.132839,0.065535,0.132839,-0.065535
0.146447,0.067574,0.000000,0.146447,0.067574,0.146447,-0.067574
0.160600,0.069429,0.000000,0.160600,0.069429,0.160600,-0.069429
0.175276,0.071096,0.000000,0.175276,0.071096,0.175276,-0.071096
0.190453,0.072572,0.000000,0.190453,0.072572,0.190453,-0.072572
0.206107,0.073857,0.000000,0.206107,0.073857,0.206107,-0.073857
0.222215,0.074950,0.000000,0.222215,0.074950,0.222215,-0.074950
0.238751,0.075849,0.000000,0.238751,0.075849,0.238751,-0.075849
0.255689,0.076558,0.000000,0.255689,0.076558,0.255689,-0.076558
0.273005,0.077076,0.000000,0.273005,0.077076,0.273005,-0.077076
0.290670,0.077409,0.000000,0.290670,0.077409,0.290670,-0.077409
0.308658,0.077558,0.000000,0.308658,0.077558,0.308658,-0.077558
0.326941,0.077528,0.000000,0.326941,0.077528,0.326941,-0.077528
0.345492,0.077325,0.000000,0.345492,0.077325,0.345492,-0.077325
0.364280,0.076954,0.000000,0.364280,0.076954,0.364280,-0.076954
0.383277,0.076422,0.000000,0.383277,0.076422,0.383277,-0.076422
0.402455,0.075735,0.000000,0.402455,0.075735,0.402455,-0.075735
0.421783,0.074900,0.000000,0.421783,0.074900,0.421783,-0.074900
0.441231,0.073926,0.000000,0.441231,0.073926,0.441231,-0.073926
0.460770,0.072819,0.000000,0.460770,0.072819,0.460770,-0.072819
0.480370,0.071589,0.000000,0.480370,0.071589,0.480370,-0.071589
0.500000,0.070244,0.000000,0.500000,0.070244,0.500000,-0.070244
0.519630,0.068790,0.000000,0.519630,0.068790,0.519630,-0.068790
0.539230,0.067239,0.000000,0.539230,0.067239,0.539230,-0.067239
0.558769,0.065596,0.000000,0.558769,0.065596,0.558769,-0.065596
0.578217,0.063871,0.000000,0.578217,0.063871,0.578217,-0.063871
0.597545,0.062072,0.000000,0.597545,0.062072,0.597545,-0.062072
0.616723,0.060208,0.000000,0.616723,0.060208,0.616723,-0.060208
