# Podded azimuth thruster pod body profile - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT ABB Azipod geometry, which is proprietary. Parametric axisymmetric fairing from the
# brief's numbers.
#
# From the brief: pod body diameter 0.5 D = 125 mm on a 250 mm propeller,
#   pod length 2.5 D = 625 mm, faired nose and tail cone.
# Shape: ellipsoidal nose over the first 30% of length, parallel mid-body, then a faired
# conic tail over the last 45%. The tail is longer than the nose because separation on the
# after body is what costs a pod its efficiency, and it must clear the propeller for a pusher.
#
# x_frac is fraction of pod length; x_mm and radius_mm are at the stated scale. Revolve about
# the pod axis. Strut section is in naca0015-strut.csv.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
x_frac,x_mm,radius_mm,diameter_mm
0.000000,0.000000,0.000000,0.000000
0.016667,0.041667,0.082168,0.164336
0.033333,0.083333,0.114531,0.229061
0.050000,0.125000,0.138193,0.276385
0.066667,0.166667,0.157135,0.314270
0.083333,0.208333,0.172915,0.345831
0.100000,0.250000,0.186339,0.372678
0.116667,0.291667,0.197886,0.395772
0.133333,0.333333,0.207870,0.415740
0.150000,0.375000,0.216506,0.433013
0.166667,0.416667,0.223952,0.447903
0.183333,0.458333,0.230321,0.460642
0.200000,0.500000,0.235702,0.471405
0.216667,0.541667,0.240161,0.480323
0.233333,0.583333,0.243749,0.487498
0.250000,0.625000,0.246503,0.493007
0.266667,0.666667,0.248452,0.496904
0.283333,0.708333,0.249614,0.499228
0.300000,0.750000,0.250000,0.500000
0.316667,0.791667,0.250000,0.500000
0.333333,0.833333,0.250000,0.500000
0.350000,0.875000,0.250000,0.500000
0.366667,0.916667,0.250000,0.500000
0.383333,0.958333,0.250000,0.500000
0.400000,1.000000,0.250000,0.500000
0.416667,1.041667,0.250000,0.500000
0.433333,1.083333,0.250000,0.500000
0.450000,1.125000,0.250000,0.500000
0.466667,1.166667,0.250000,0.500000
0.483333,1.208333,0.250000,0.500000
0.500000,1.250000,0.250000,0.500000
0.516667,1.291667,0.250000,0.500000
0.533333,1.333333,0.250000,0.500000
0.550000,1.375000,0.250000,0.500000
0.566667,1.416667,0.248744,0.497488
0.583333,1.458333,0.246193,0.492385
0.600000,1.500000,0.242716,0.485432
0.616667,1.541667,0.238458,0.476916
0.633333,1.583333,0.233506,0.467011
0.650000,1.625000,0.227919,0.455837
0.666667,1.666667,0.221742,0.443484
0.683333,1.708333,0.215011,0.430023
0.700000,1.750000,0.207755,0.415511
0.716667,1.791667,0.199998,0.399997
0.733333,1.833333,0.191761,0.383522
0.750000,1.875000,0.183062,0.366124
0.766667,1.916667,0.173916,0.347832
0.783333,1.958333,0.164338,0.328676
0.800000,2.000000,0.154340,0.308680
0.816667,2.041667,0.143934,0.287868
0.833333,2.083333,0.133130,0.266260
0.850000,2.125000,0.121938,0.243876
0.866667,2.166667,0.110366,0.220733
0.883333,2.208333,0.098423,0.196847
0.900000,2.250000,0.086117,0.172233
0.916667,2.291667,0.073453,0.146906
0.933333,2.333333,0.060439,0.120878
0.950000,2.375000,0.047081,0.094163
0.966667,2.416667,0.033385,0.066770
0.983333,2.458333,0.019356,0.038713
1.000000,2.500000,0.005000,0.010000
