# Decelerating pump-jet duct wall - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT 19A and must never be swapped for it. Real 19A ordinates live one folder away in
# ../ducted-kort/duct-19a.csv - 19A is an ACCELERATING duct and is the wrong family here.
# This shroud must DECELERATE the flow: that is what raises static pressure at the rotor and
# suppresses cavitation, which is the entire point of a submarine pump-jet.
# No open decelerating-duct ordinate table was found (searched 2026-09-10).
#
# METHOD: inner wall contracts smoothly to a throat at the rotor plane (x/L = 0.35), then
# DIVERGES to the exit - the defining difference from 19A, whose inner wall is cylindrical
# and never diverges. Smoothstep blends give continuous slope at the throat. Outer wall is
# the inner wall plus a NACA four-digit thickness distribution (12%).
# Radii are multiples of the throat radius; scale by the rotor tip radius plus tip gap.
#
# The built model's rotor tip currently overruns the shroud by 9.5 mm. Rebuild the rotor to
# the throat radius here before trusting anything downstream of it.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
x_L,r_inner_throat,r_outer_throat
0.000000,1.060000,1.068000
0.025000,1.059125,1.094088
0.050000,1.056676,1.104272
0.075000,1.052915,1.109214
0.100000,1.048105,1.110942
0.125000,1.042507,1.110412
0.150000,1.036385,1.108253
0.175000,1.030000,1.104949
0.200000,1.023615,1.100913
0.225000,1.017493,1.096517
0.250000,1.011895,1.092105
0.275000,1.007085,1.088005
0.300000,1.003324,1.084533
0.325000,1.000875,1.081995
0.350000,1.000000,1.080690
0.375000,1.000432,1.080383
0.400000,1.001684,1.080615
0.425000,1.003687,1.081340
0.450000,1.006372,1.082513
0.475000,1.009672,1.084084
0.500000,1.013518,1.086000
0.525000,1.017843,1.088209
0.550000,1.022576,1.090655
0.575000,1.027651,1.093280
0.600000,1.033000,1.096027
0.625000,1.038553,1.098834
0.650000,1.044242,1.101642
0.675000,1.050000,1.104387
0.700000,1.055758,1.107007
0.725000,1.061447,1.109435
0.750000,1.067000,1.111606
0.775000,1.072349,1.113454
0.800000,1.077424,1.114911
0.825000,1.082157,1.115906
0.850000,1.086482,1.116372
0.875000,1.090328,1.116237
0.900000,1.093628,1.115428
0.925000,1.096313,1.113875
0.950000,1.098316,1.111502
0.975000,1.099568,1.108235
1.000000,1.100000,1.108000
