# Pump-jet rotor schedule, Z = 7 - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT from any published series. No open rotor geometry exists for a submarine pump-jet, for
# obvious reasons. This is parametric, from the brief's numbers, and the real design route is
# an OpenProp lifting-line run.
#
# FIXES THE BUILT MODEL'S WORST DEFECT. The built rotor tip radius is 134.54 against a shroud
# inner radius of 125 - it passes THROUGH the duct wall by 9.5 mm. Here the tip is pinned to
#   r_tip = throat_radius - tip_gap = 1.0 - 0.004 = 0.996 (fractions of throat radius)
# giving the brief's 0.5 mm gap at a 250 mm throat, ~0.2% of diameter. r_throat_frac is the
# station radius as a fraction of the THROAT radius - multiply by the throat from
# duct-decelerating.csv, never by the blade's own tip.
#
# High solidity (Ae/Ao = 1.05, achieved 1.0500) and high skew (45.0 deg at the tip),
# both per the brief - a quiet propulsor needs area to unload the blade and skew to spread
# blade-passing over azimuth. Chord stays wide at the tip: a ducted rotor ends square, not faired.
# Hub ratio 0.4 reflects the ogive/tail-cone hub the stator vanes carry.
r_R,r_throat_frac,c_D,P_D,pitch_deg,t_D,skew_deg
0.400000,0.398400,0.366282,1.100000,41.197352,0.050000,0.000000
0.437500,0.435750,0.366282,1.100000,38.671056,0.047375,0.703125
0.475000,0.473100,0.366282,1.100000,36.395363,0.044750,1.988738
0.512500,0.510450,0.366282,1.100000,34.340956,0.042125,3.653545
0.550000,0.547800,0.377405,1.100000,32.481637,0.039500,5.625000
0.587500,0.585150,0.393441,1.100000,30.794285,0.036875,7.861176
0.625000,0.622500,0.409477,1.100000,29.258657,0.034250,10.333785
0.662500,0.659850,0.419639,1.100000,27.857102,0.031625,13.022057
0.700000,0.697200,0.429802,1.100000,26.574275,0.029000,15.909903
0.737500,0.734550,0.430361,1.100000,25.396838,0.026375,18.984375
0.775000,0.771900,0.430920,1.100000,24.313199,0.023750,22.234765
0.812500,0.809250,0.418101,1.100000,23.313269,0.021125,25.652020
0.850000,0.846600,0.405281,1.100000,22.388254,0.018500,29.228357
0.887500,0.883950,0.371065,1.100000,21.530470,0.015875,32.956992
0.925000,0.921300,0.366282,1.100000,20.733192,0.013250,36.831940
0.962500,0.958650,0.366282,1.100000,19.990513,0.010625,40.847871
1.000000,0.996000,0.366282,1.100000,19.297237,0.008000,45.000000
