# NACA 4412 - GENERATED BY cad/tools/make-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# Closed form (-0.1036), then blunted to a finite TE. x,y are fractions of chord.
# max camber m=0.0400 at p=0.40, thickness t=0.1200
#
# Role: CAMBERED stator vane. The built model's vanes are 12-triangle flat boxes, which turn no flow; a stator must be cambered to recover rotor swirl. 4412 is a four-digit stand-in for the NACA 65-series a stator would normally use - 65-series ordinates are tabulated, not equation-derived, so they cannot be generated here.
#
# TRAILING EDGE IS BLUNTED, deliberately. The classic open-TE form leaves an
# arbitrary ~0.17% residue - at this chord that is a knife edge, and the underwater
# brief forbids it: 'hold a minimum TE thickness (1 mm at this scale) so the blade is
# castable and printable.' So the closed form (-0.1036) is used and 1.0 mm of TE is
# added linearly over a 30 mm chord. Scale the chord and the TE scales with it.
# Exact and re-derivable. Regenerate rather than edit.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.003475,0.000077,-0.000295,0.003485,0.001066,-0.003330
0.001541,0.006902,0.000308,0.000193,0.007077,0.002890,-0.006462
0.003466,0.010280,0.000690,0.001466,0.010774,0.005465,-0.009394
0.006156,0.013606,0.001222,0.003527,0.014571,0.008785,-0.012128
0.009607,0.016875,0.001898,0.006374,0.018461,0.012840,-0.014664
0.013815,0.020084,0.002715,0.010007,0.022435,0.017623,-0.017005
0.018772,0.023228,0.003666,0.014423,0.026483,0.023122,-0.019151
0.024472,0.026301,0.004745,0.019618,0.030594,0.029325,-0.021105
0.030904,0.029299,0.005942,0.025587,0.034754,0.036222,-0.022870
0.038060,0.032214,0.007250,0.032324,0.038949,0.043797,-0.024449
0.045928,0.035042,0.008658,0.039820,0.043163,0.052037,-0.025847
0.054497,0.037775,0.010157,0.048066,0.047380,0.060927,-0.027067
0.063752,0.040407,0.011734,0.057053,0.051583,0.070451,-0.028114
0.073680,0.042933,0.013379,0.066766,0.055752,0.080594,-0.028994
0.084265,0.045346,0.015078,0.077194,0.059869,0.091336,-0.029714
0.095492,0.047640,0.016819,0.088321,0.063916,0.102662,-0.030279
0.107342,0.049810,0.018588,0.100130,0.067873,0.114553,-0.030697
0.119797,0.051850,0.020372,0.112603,0.071720,0.126991,-0.030977
0.132839,0.053756,0.022156,0.125721,0.075439,0.139956,-0.031127
0.146447,0.055523,0.023928,0.139463,0.079010,0.153430,-0.031155
0.160600,0.057149,0.025672,0.153807,0.082416,0.167392,-0.031072
0.175276,0.058629,0.027375,0.168729,0.085637,0.181822,-0.030888
0.190453,0.059963,0.029023,0.184205,0.088659,0.196701,-0.030614
0.206107,0.061147,0.030601,0.200207,0.091463,0.212008,-0.030260
0.222215,0.062182,0.032098,0.216709,0.094036,0.227721,-0.029839
0.238751,0.063067,0.033500,0.233682,0.096363,0.243819,-0.029363
0.255689,0.063803,0.034794,0.251098,0.098431,0.260281,-0.028844
0.273005,0.064391,0.035968,0.268924,0.100230,0.277085,-0.028294
0.290670,0.064834,0.037012,0.287131,0.101749,0.294209,-0.027725
0.308658,0.065133,0.037914,0.305687,0.102979,0.311630,-0.027151
0.326941,0.065292,0.038666,0.324558,0.103914,0.329325,-0.026583
0.345492,0.065315,0.039257,0.343712,0.104548,0.347271,-0.026034
0.364280,0.065206,0.039681,0.363115,0.104877,0.365444,-0.025515
0.383277,0.064970,0.039930,0.382734,0.104898,0.383821,-0.025038
0.402455,0.064612,0.039999,0.402490,0.104612,0.402420,-0.024613
0.421783,0.064138,0.039947,0.422093,0.104084,0.421472,-0.024190
0.441231,0.063553,0.039811,0.441814,0.103361,0.440649,-0.023739
0.460770,0.062863,0.039590,0.461619,0.102447,0.459922,-0.023268
0.480370,0.062075,0.039282,0.481479,0.101348,0.479262,-0.022783
0.500000,0.061195,0.038889,0.501360,0.100069,0.498640,-0.022291
0.519630,0.060229,0.038410,0.521230,0.098617,0.518029,-0.021798
0.539230,0.059183,0.037846,0.541060,0.097001,0.537399,-0.021309
0.558769,0.058064,0.037199,0.560816,0.095228,0.556721,-0.020829
0.578217,0.056879,0.036471,0.580468,0.093306,0.575966,-0.020364
0.597545,0.055633,0.035664,0.599985,0.091244,0.595105,-0.019916
0.616723,0.054333,0.034781,0.619336,0.089052,0.614109,-0.019489
0.635720,0.052985,0.033826,0.638492,0.086739,0.632949,-0.019086
0.654508,0.051595,0.032803,0.657422,0.084315,0.651595,-0.018710
0.673059,0.050168,0.031715,0.676097,0.081791,0.670020,-0.018360
0.691342,0.048711,0.030569,0.694489,0.079178,0.688195,-0.018040
0.709330,0.047229,0.029368,0.712569,0.076486,0.706091,-0.017749
0.726995,0.045727,0.028119,0.730309,0.073726,0.723681,-0.017487
0.744311,0.044212,0.026828,0.747684,0.070911,0.740938,-0.017255
0.761249,0.042688,0.025500,0.764665,0.068051,0.757833,-0.017051
0.777785,0.041161,0.024142,0.781229,0.065159,0.774342,-0.016875
0.793893,0.039636,0.022761,0.797349,0.062246,0.790436,-0.016724
0.809547,0.038119,0.021363,0.813002,0.059326,0.806092,-0.016599
0.824724,0.036614,0.019957,0.828165,0.056409,0.821284,-0.016496
0.839400,0.035128,0.018547,0.842814,0.053509,0.835987,-0.016414
0.853553,0.033664,0.017143,0.856929,0.050638,0.850177,-0.016351
0.867161,0.032229,0.015751,0.870489,0.047808,0.863833,-0.016306
0.880203,0.030828,0.014378,0.883474,0.045032,0.876932,-0.016275
0.892658,0.029465,0.013032,0.895865,0.042322,0.889452,-0.016258
0.904508,0.028146,0.011719,0.907644,0.039690,0.901373,-0.016252
0.915735,0.026876,0.010446,0.918795,0.037148,0.912675,-0.016255
