# Rim-driven (hubless) blade schedule - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT from any published series. Rim-drive blade geometry is commercial (SCHOTTEL, Copenhagen
# Subsea). Parametric, from the brief.
#
# THE STRUCTURE IS INVERTED and the thickness column reflects it. Every other propeller here
# is thickest at the hub; this blade is cantilevered INWARD from the motor ring, so its
# structural root is at r/R = 1.0 and its FREE end is at r/R = 0.31. Thickness therefore
# runs 0.04 at the ring down to 0.012 at the free inner end - the opposite of a hubbed blade.
# Getting this backwards produces a blade that is thinnest exactly where the bending moment is
# highest.
#
# Z = 5, P/D = 0.9, Ae/Ao = 0.7 (achieved 0.7000). No rake: there is no hub to rake from.
# Sections: use the generated NACA form in ../voith-schneider/naca0016.csv scaled to t_D, or a
# cambered four-digit section if loading demands it.
r_R,c_D,P_D,pitch_deg,t_D,rake_z_D
0.310000,0.191973,0.900000,42.741811,0.012000,0.000000
0.353125,0.214200,0.900000,39.051303,0.013750,0.000000
0.396250,0.232038,0.900000,35.865994,0.015500,0.000000
0.439375,0.248524,0.900000,33.104936,0.017250,0.000000
0.482500,0.264190,0.900000,30.699242,0.019000,0.000000
0.525625,0.279273,0.900000,28.591500,0.020750,0.000000
0.568750,0.293906,0.900000,26.734357,0.022500,0.000000
0.611875,0.308177,0.900000,25.088919,0.024250,0.000000
0.655000,0.322144,0.900000,23.623239,0.026000,0.000000
0.698125,0.335851,0.900000,22.311027,0.027750,0.000000
0.741250,0.349331,0.900000,21.130560,0.029500,0.000000
0.784375,0.362609,0.900000,20.063814,0.031250,0.000000
0.827500,0.375708,0.900000,19.095754,0.033000,0.000000
0.870625,0.388644,0.900000,18.213775,0.034750,0.000000
0.913750,0.401431,0.900000,17.407251,0.036500,0.000000
0.956875,0.414082,0.900000,16.667179,0.038250,0.000000
1.000000,0.426606,0.900000,15.985890,0.040000,0.000000
