# Rim-driven magnet pocket band - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT a motor design. Pole count, magnet grade and flux are electromagnetic decisions this
# repo does not make; 16 poles is taken from the built model, which has 16 magnet blocks.
#
# WHAT THIS FIXES: in the built model the 16 magnets are separate solids OVERLAPPING the ring,
# not pockets cut into it. This table defines actual pockets - a recess of depth 5.0 mm in the
# ring OD, with a 1.2 mm bridge of material left between neighbours so the ring stays a ring.
#
# Ring OD 123.5 mm, magnetic gap 1.5 mm to the duct stator bore at 125.0 mm.
# That gap is both the motor airgap and a viscous drag path - it is the number to hold.
# Pocket pitch 22.50 deg; arc length at the OD 48.498 mm; width is arc minus the bridge.
# All lengths mm, angles degrees.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
pocket,angle_deg,r_outer_mm,r_inner_mm,width_mm,axial_len_mm,depth_mm
0,0.000000,123.500000,118.500000,47.298337,23.500000,5.000000
1,22.500000,123.500000,118.500000,47.298337,23.500000,5.000000
2,45.000000,123.500000,118.500000,47.298337,23.500000,5.000000
3,67.500000,123.500000,118.500000,47.298337,23.500000,5.000000
4,90.000000,123.500000,118.500000,47.298337,23.500000,5.000000
5,112.500000,123.500000,118.500000,47.298337,23.500000,5.000000
6,135.000000,123.500000,118.500000,47.298337,23.500000,5.000000
7,157.500000,123.500000,118.500000,47.298337,23.500000,5.000000
8,180.000000,123.500000,118.500000,47.298337,23.500000,5.000000
9,202.500000,123.500000,118.500000,47.298337,23.500000,5.000000
10,225.000000,123.500000,118.500000,47.298337,23.500000,5.000000
11,247.500000,123.500000,118.500000,47.298337,23.500000,5.000000
12,270.000000,123.500000,118.500000,47.298337,23.500000,5.000000
13,292.500000,123.500000,118.500000,47.298337,23.500000,5.000000
14,315.000000,123.500000,118.500000,47.298337,23.500000,5.000000
15,337.500000,123.500000,118.500000,47.298337,23.500000,5.000000
