# Four-propeller skew sweep - SYNTHETIC distributions, REAL skew values.
# GENERATED BY cad/tools/make-geometry.py
#
# NOT the DTMB 4381-4384 offsets. Those are in NSRDC 3339 (DTIC AD0732511), which was still
# serving a maintenance page when retried on 2026-09-10. The SKEW ANGLES here are the real
# series values; the chord, pitch and thickness distributions are parametric stand-ins.
#
# The brief invents a 0/15/30/45 deg sweep. The real Boswell series is 0/36/72/108 deg, so the
# real values are used. Above 25 deg is a "highly skewed" blade, so three of these four are.
#
# Common to all four: Z = 5, P/D = 1.0, Ae/Ao = 0.725 (achieved 0.7250),
#   hub ratio 0.2. Skew is the ONLY column that differs between propellers - that is the
#   whole point of the series, and verification checks it.
# skew_deg follows a spline: zero at the root, tip value at r/R = 1.0, balanced about the
#   generator line so spindle torque stays low.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
propeller,tip_skew_deg,r_R,c_D,P_D,pitch_deg,t_D,f_c,skew_deg,fillet_r_D
DTMB 4381,0.000000,0.200000,0.231532,1.000000,57.858092,0.045000,0.014290,0.000000,0.020000
DTMB 4381,0.000000,0.250000,0.246907,1.000000,51.853974,0.042406,0.018735,0.000000,0.014088
DTMB 4381,0.000000,0.300000,0.262282,1.000000,46.696193,0.039813,0.023180,0.000000,0.008911
DTMB 4381,0.000000,0.350000,0.277585,1.000000,42.285165,0.037219,0.023105,0.000000,0.004593
DTMB 4381,0.000000,0.400000,0.292888,1.000000,38.511887,0.034625,0.023030,0.000000,0.001361
DTMB 4381,0.000000,0.450000,0.305333,1.000000,35.273881,0.032031,0.022425,0.000000,0.000000
DTMB 4381,0.000000,0.500000,0.317777,1.000000,32.481637,0.029438,0.021820,0.000000,0.000000
DTMB 4381,0.000000,0.550000,0.325664,1.000000,30.059909,0.026844,0.021270,0.000000,0.000000
DTMB 4381,0.000000,0.600000,0.333550,1.000000,27.946687,0.024250,0.020720,0.000000,0.000000
DTMB 4381,0.000000,0.650000,0.333985,1.000000,26.091339,0.021656,0.020375,0.000000,0.000000
DTMB 4381,0.000000,0.700000,0.334419,1.000000,24.452642,0.019063,0.020030,0.000000,0.000000
DTMB 4381,0.000000,0.750000,0.324470,1.000000,22.997008,0.016469,0.019850,0.000000,0.000000
DTMB 4381,0.000000,0.800000,0.314521,1.000000,21.696984,0.013875,0.019670,0.000000,0.000000
DTMB 4381,0.000000,0.850000,0.287968,1.000000,20.530032,0.011281,0.018920,0.000000,0.000000
DTMB 4381,0.000000,0.900000,0.261414,1.000000,19.477549,0.008687,0.018170,0.000000,0.000000
DTMB 4381,0.000000,0.950000,0.200781,1.000000,18.524097,0.006094,0.016310,0.000000,0.000000
DTMB 4381,0.000000,1.000000,0.040000,1.000000,17.656787,0.006000,0.011750,0.000000,0.000000
DTMB 4382,36.000000,0.200000,0.231532,1.000000,57.858092,0.045000,0.014290,0.000000,0.020000
DTMB 4382,36.000000,0.250000,0.246907,1.000000,51.853974,0.042406,0.018735,0.426295,0.014088
DTMB 4382,36.000000,0.300000,0.262282,1.000000,46.696193,0.039813,0.023180,1.292286,0.008911
DTMB 4382,36.000000,0.350000,0.277585,1.000000,42.285165,0.037219,0.023105,2.472319,0.004593
DTMB 4382,36.000000,0.400000,0.292888,1.000000,38.511887,0.034625,0.023030,3.917478,0.001361
DTMB 4382,36.000000,0.450000,0.305333,1.000000,35.273881,0.032031,0.022425,5.598382,0.000000
DTMB 4382,36.000000,0.500000,0.317777,1.000000,32.481637,0.029438,0.021820,7.494670,0.000000
DTMB 4382,36.000000,0.550000,0.325664,1.000000,30.059909,0.026844,0.021270,9.591077,0.000000
DTMB 4382,36.000000,0.600000,0.333550,1.000000,27.946687,0.024250,0.020720,11.875571,0.000000
DTMB 4382,36.000000,0.650000,0.333985,1.000000,26.091339,0.021656,0.020375,14.338329,0.000000
DTMB 4382,36.000000,0.700000,0.334419,1.000000,24.452642,0.019063,0.020030,16.971121,0.000000
DTMB 4382,36.000000,0.750000,0.324470,1.000000,22.997008,0.016469,0.019850,19.766912,0.000000
