# Supercavitating blade planform - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Newton-Rader data. Newton & Rader (Trans. RINA 103, 1961) is the real series and is
# paywalled. This is a parametric planform at the brief's own parameters, to pair with the
# wedge sections in wedge-sections.csv.
#
# From the brief: Z = 3, P/D = 1.6, Ae/Ao = 0.55, hub ratio 0.2.
# Achieved Ae/Ao = 0.5500 against 0.55 requested.
# te_thick_c is held at 4% of chord at every station - the defining supercavitating feature,
# maximum thickness AT the trailing edge. Design speed 45 knots, recorded in wedge-sections.csv.
# The tip does not close to zero chord: a supercavitating blade carries load to the tip.
r_R,c_D,P_D,pitch_deg,t_D,te_thick_c,skew_deg
0.200000,0.203846,1.600000,68.560109,0.040000,0.040000,0.000000
0.250000,0.238128,1.600000,63.854786,0.038250,0.040000,0.371112
0.300000,0.263531,1.600000,59.499847,0.036500,0.040000,0.979369
0.350000,0.286379,1.600000,55.502240,0.034750,0.040000,1.727724
0.400000,0.307661,1.600000,51.853974,0.033000,0.040000,2.584571
0.450000,0.327748,1.600000,48.537056,0.031250,0.040000,3.532340
0.500000,0.346764,1.600000,45.527691,0.029500,0.040000,4.559490
0.550000,0.364672,1.600000,42.799452,0.027750,0.040000,5.657724
0.600000,0.381312,1.600000,40.325475,0.026000,0.040000,6.820725
0.650000,0.396403,1.600000,38.079836,0.024250,0.040000,8.043481
0.700000,0.409546,1.600000,36.038342,0.022500,0.040000,9.321902
0.750000,0.420210,1.600000,34.178900,0.020750,0.040000,10.652567
0.800000,0.427730,1.600000,32.481637,0.019000,0.040000,12.032567
0.850000,0.431295,1.600000,30.928842,0.017250,0.040000,13.459385
0.900000,0.429933,1.600000,29.504838,0.015500,0.040000,14.930824
0.950000,0.422506,1.600000,28.195797,0.013750,0.040000,16.444940
1.000000,0.407693,1.600000,26.989554,0.012000,0.040000,18.000000
