# Surface-piercing CLEAVER planform - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Rolla, NOT Mercury Bravo, NOT Newton-Rader. Production cleaver geometry is commercial
# and unpublished; this is a parametric stand-in from the brief's own parameters.
#
# WHY IT EXISTS: the built model's tip tapers to ~9 mm chord and keeps falling, where a
# cleaver ends SQUARE. This table is what a rebuild should follow - note c_D is still large
# at r_R = 1.0 and does not go to zero. That is the defining cleaver feature.
#
# From the brief: Z = 5, target Ae/Ao = 0.75, D = 250 mm,
#   hub ratio 0.2, aft rake 12.0 deg, TE thickness 3%
#   of chord, 2.0 deg cup over the outer third (cup_deg is 0 inboard of r_R 0.467).
# The chord schedule is scaled so the expanded-area ratio hits the target:
#   achieved Ae/Ao = 0.7500 against 0.75 requested.
# skew_deg sweeps the LEADING edge back while the trailing edge stays near-radial.
# rake_z_D is aft rake as a fraction of D. Sections are wedges - see wedge-sections.csv.
r_R,c_D,skew_deg,rake_z_D,te_thick_c,cup_deg
0.200000,0.141639,0.000000,0.042511,0.030000,0.000000
0.250000,0.179014,0.378929,0.053139,0.030000,0.000000
0.300000,0.204477,1.148698,0.063767,0.030000,0.000000
0.350000,0.226731,2.197617,0.074395,0.030000,0.000000
0.400000,0.247012,3.482202,0.085023,0.030000,0.000000
0.450000,0.265775,4.976340,0.095650,0.030000,0.000000
0.500000,0.283186,6.661929,0.106278,0.030000,0.000000
0.550000,0.299262,8.525402,0.116906,0.030000,0.000000
0.600000,0.313926,10.556063,0.127534,0.030000,0.000000
0.650000,0.327032,12.745181,0.138162,0.030000,0.000000
0.700000,0.338377,15.085441,0.148790,0.030000,0.000000
0.750000,0.347710,17.570588,0.159417,0.030000,2.000000
0.800000,0.354738,20.195193,0.170045,0.030000,2.000000
0.850000,0.359125,22.954475,0.180673,0.030000,2.000000
0.900000,0.360498,25.844186,0.191301,0.030000,2.000000
0.950000,0.358446,28.860511,0.201929,0.030000,2.000000
1.000000,0.352523,32.000000,0.212557,0.030000,2.000000
