# Surface-piercing wedge section - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT from any published series. Same construction as the supercavitating wedge but a
# DIFFERENT design: this blade ventilates through the free surface at 3% TE
# thickness, rather than running submerged inside its own vapour cavity. Do not interchange
# the two files just because the shapes look alike - the briefs are explicit about this.
#
# Flat pressure face, straight ramp from a sharp LE to max thickness at the TE.
# LE included angle = atan(0.03) = 1.7184 deg.
# The 2 deg cup over the outer third is applied to the TRAILING EDGE by the planform table,
# not baked into this section.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
x_c,y_pressure,y_suction
0.000000,0.000000,0.000000
0.025000,0.000000,0.000750
0.050000,0.000000,0.001500
0.075000,0.000000,0.002250
0.100000,0.000000,0.003000
0.125000,0.000000,0.003750
0.150000,0.000000,0.004500
0.175000,0.000000,0.005250
0.200000,0.000000,0.006000
0.225000,0.000000,0.006750
0.250000,0.000000,0.007500
0.275000,0.000000,0.008250
0.300000,0.000000,0.009000
0.325000,0.000000,0.009750
0.350000,0.000000,0.010500
0.375000,0.000000,0.011250
0.400000,0.000000,0.012000
0.425000,0.000000,0.012750
0.450000,0.000000,0.013500
0.475000,0.000000,0.014250
0.500000,0.000000,0.015000
0.525000,0.000000,0.015750
0.550000,0.000000,0.016500
0.575000,0.000000,0.017250
0.600000,0.000000,0.018000
0.625000,0.000000,0.018750
0.650000,0.000000,0.019500
0.675000,0.000000,0.020250
0.700000,0.000000,0.021000
0.725000,0.000000,0.021750
0.750000,0.000000,0.022500
0.775000,0.000000,0.023250
0.800000,0.000000,0.024000
0.825000,0.000000,0.024750
0.850000,0.000000,0.025500
0.875000,0.000000,0.026250
0.900000,0.000000,0.027000
0.925000,0.000000,0.027750
0.950000,0.000000,0.028500
0.975000,0.000000,0.029250
1.000000,0.000000,0.030000
