# Marine toroidal (loop) blade path - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Sharrow geometry. Sharrow's loop is patented; the claims describe it but tabulate
# nothing, so no real path is obtainable. This is a parametric closed loop from the brief.
#
# METHOD: single smooth harmonic parametrisation in s over [0,1], closed and periodic, so the
# path is TANGENT-CONTINUOUS by construction - the brief's first Done-when - with no piecewise
# joins that could crease. r returns to the hub with zero radial slope at both root ends.
#   r_R    radius, hub 0.2 out to the tip and back
#   theta  circumferential offset, max half-width 42.0 deg
#   z_D    axial arch over the top of the loop, as a fraction of D
#
# 3 loops per the brief: replicate this path at 120 deg intervals about the axis.
# NOT CHECKED HERE: that the return branch clears the leading branch. That is a solid-model
# question - sweep the section along the path, then test for self-intersection. A tangent-
# continuous centreline does not by itself guarantee a non-self-intersecting solid.
s,r_R,theta_deg,z_D
0.000000,0.200000,0.000000,0.000000
0.008333,0.200548,2.198110,0.000274
0.016667,0.202191,4.390195,0.001093
0.025000,0.204925,6.570248,0.002447
0.033333,0.208741,8.732291,0.004323
0.041667,0.213630,10.870400,0.006699
0.050000,0.219577,12.978714,0.009549
0.058333,0.226568,15.051454,0.012843
0.066667,0.234582,17.082939,0.016543
0.075000,0.243597,19.067601,0.020611
0.083333,0.253590,21.000000,0.025000
0.091667,0.264532,22.874839,0.029663
0.100000,0.276393,24.686981,0.034549
0.108333,0.289142,26.431456,0.039604
0.116667,0.302742,28.103485,0.044774
0.125000,0.317157,29.698485,0.050000
0.133333,0.332348,31.212083,0.055226
0.141667,0.348272,32.640130,0.060396
0.150000,0.364886,33.978714,0.065451
0.158333,0.382144,35.224164,0.070337
0.166667,0.400000,36.373067,0.075000
0.175000,0.418404,37.422274,0.079389
0.183333,0.437305,38.368909,0.083457
0.191667,0.456653,39.210378,0.087157
0.200000,0.476393,39.944374,0.090451
0.208333,0.496472,40.568885,0.093301
0.216667,0.516835,41.082199,0.095677
0.225000,0.537426,41.482910,0.097553
0.233333,0.558189,41.769920,0.098907
0.241667,0.579066,41.942440,0.099726
0.250000,0.600000,42.000000,0.100000
0.258333,0.620934,41.942440,0.099726
0.266667,0.641811,41.769920,0.098907
0.275000,0.662574,41.482910,0.097553
0.283333,0.683165,41.082199,0.095677
0.291667,0.703528,40.568885,0.093301
0.300000,0.723607,39.944374,0.090451
0.308333,0.743347,39.210378,0.087157
0.316667,0.762695,38.368909,0.083457
0.325000,0.781596,37.422274,0.079389
0.333333,0.800000,36.373067,0.075000
0.341667,0.817856,35.224164,0.070337
0.350000,0.835114,33.978714,0.065451
0.358333,0.851728,32.640130,0.060396
0.366667,0.867652,31.212083,0.055226
0.375000,0.882843,29.698485,0.050000
0.383333,0.897258,28.103485,0.044774
0.391667,0.910858,26.431456,0.039604
0.400000,0.923607,24.686981,0.034549
0.408333,0.935468,22.874839,0.029663
0.416667,0.946410,21.000000,0.025000
0.425000,0.956403,19.067601,0.020611
0.433333,0.965418,17.082939,0.016543
0.441667,0.973432,15.051454,0.012843
0.450000,0.980423,12.978714,0.009549
0.458333,0.986370,10.870400,0.006699
0.466667,0.991259,8.732291,0.004323
0.475000,0.995075,6.570248,0.002447
0.483333,0.997809,4.390195,0.001093
0.491667,0.999452,2.198110,0.000274
0.500000,1.000000,0.000000,0.000000
0.508333,0.999452,-2.198110,0.000274
0.516667,0.997809,-4.390195,0.001093
0.525000,0.995075,-6.570248,0.002447
0.533333,0.991259,-8.732291,0.004323
0.541667,0.986370,-10.870400,0.006699
0.550000,0.980423,-12.978714,0.009549
0.558333,0.973432,-15.051454,0.012843
0.566667,0.965418,-17.082939,0.016543
0.575000,0.956403,-19.067601,0.020611
0.583333,0.946410,-21.000000,0.025000
0.591667,0.935468,-22.874839,0.029663
0.600000,0.923607,-24.686981,0.034549
0.608333,0.910858,-26.431456,0.039604
0.616667,0.897258,-28.103485,0.044774
0.625000,0.882843,-29.698485,0.050000
0.633333,0.867652,-31.212083,0.055226
0.641667,0.851728,-32.640130,0.060396
0.650000,0.835114,-33.978714,0.065451
0.658333,0.817856,-35.224164,0.070337
0.666667,0.800000,-36.373067,0.075000
0.675000,0.781596,-37.422274,0.079389
0.683333,0.762695,-38.368909,0.083457
0.691667,0.743347,-39.210378,0.087157
0.700000,0.723607,-39.944374,0.090451
0.708333,0.703528,-40.568885,0.093301
0.716667,0.683165,-41.082199,0.095677
0.725000,0.662574,-41.482910,0.097553
0.733333,0.641811,-41.769920,0.098907
0.741667,0.620934,-41.942440,0.099726
0.750000,0.600000,-42.000000,0.100000
0.758333,0.579066,-41.942440,0.099726
0.766667,0.558189,-41.769920,0.098907
0.775000,0.537426,-41.482910,0.097553
0.783333,0.516835,-41.082199,0.095677
0.791667,0.496472,-40.568885,0.093301
0.800000,0.476393,-39.944374,0.090451
0.808333,0.456653,-39.210378,0.087157
0.816667,0.437305,-38.368909,0.083457
0.825000,0.418404,-37.422274,0.079389
0.833333,0.400000,-36.373067,0.075000
0.841667,0.382144,-35.224164,0.070337
0.850000,0.364886,-33.978714,0.065451
0.858333,0.348272,-32.640130,0.060396
0.866667,0.332348,-31.212083,0.055226
0.875000,0.317157,-29.698485,0.050000
0.883333,0.302742,-28.103485,0.044774
0.891667,0.289142,-26.431456,0.039604
0.900000,0.276393,-24.686981,0.034549
0.908333,0.264532,-22.874839,0.029663
0.916667,0.253590,-21.000000,0.025000
0.925000,0.243597,-19.067601,0.020611
0.933333,0.234582,-17.082939,0.016543
0.941667,0.226568,-15.051454,0.012843
0.950000,0.219577,-12.978714,0.009549
0.958333,0.213630,-10.870400,0.006699
0.966667,0.208741,-8.732291,0.004323
0.975000,0.204925,-6.570248,0.002447
0.983333,0.202191,-4.390195,0.001093
0.991667,0.200548,-2.198110,0.000274
1.000000,0.200000,-0.000000,0.000000
