# Marine toroidal blade section schedule along the loop - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Sharrow geometry, which is patented and tabulates nothing. Parametric, from the brief.
#
# Scheduled by the SAME path parameter s as loop-path.csv, so the two files index together:
# row i here is the section to sweep at row i there. Both are closed and periodic in s.
#
# The brief's binding constraint is a minimum thickness that holds ALL THE WAY ROUND, including
# the return branch - a loop has no free tip to thin toward, and the return branch carries load
# just as the leading branch does. Floor is t/D = 0.012; achieved minimum 0.0220.
# Thickness runs 0.038 at the roots to 0.022 over the top; chord 0.16 to 0.26.
#
# Marine sections throughout: blunt trailing edge, leading-edge radius chosen for cavitation,
# never a knife edge. t_c is reported so the section can be scaled from any aerofoil.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
s,span_frac,c_D,t_D,t_c
0.000000,0.000000,0.160000,0.038000,0.237500
0.016667,0.002739,0.163584,0.037956,0.232029
0.033333,0.010926,0.169438,0.037825,0.223239
0.050000,0.024472,0.176587,0.037608,0.212974
0.066667,0.043227,0.184666,0.037308,0.202031
0.083333,0.066987,0.193416,0.036928,0.190926
0.100000,0.095492,0.202600,0.036472,0.180021
0.116667,0.128428,0.211972,0.035945,0.169575
0.133333,0.165435,0.221268,0.035353,0.159775
0.150000,0.206107,0.230198,0.034702,0.150750
0.166667,0.250000,0.238458,0.034000,0.142583
0.183333,0.296632,0.245745,0.033254,0.135319
0.200000,0.345492,0.251766,0.032472,0.128977
0.216667,0.396044,0.256270,0.031663,0.123554
0.233333,0.447736,0.259057,0.030836,0.119033
0.250000,0.500000,0.260000,0.030000,0.115385
0.266667,0.552264,0.259057,0.029164,0.112577
0.283333,0.603956,0.256270,0.028337,0.110574
0.300000,0.654508,0.251766,0.027528,0.109339
0.316667,0.703368,0.245745,0.026746,0.108837
0.333333,0.750000,0.238458,0.026000,0.109034
0.350000,0.793893,0.230198,0.025298,0.109896
0.366667,0.834565,0.221268,0.024647,0.111390
0.383333,0.871572,0.211972,0.024055,0.113481
0.400000,0.904508,0.202600,0.023528,0.116130
0.416667,0.933013,0.193416,0.023072,0.119286
0.433333,0.956773,0.184666,0.022692,0.122879
0.450000,0.975528,0.176587,0.022392,0.126802
0.466667,0.989074,0.169438,0.022175,0.130873
0.483333,0.997261,0.163584,0.022044,0.134756
0.500000,1.000000,0.160000,0.022000,0.137500
0.516667,0.997261,0.163584,0.022044,0.134756
0.533333,0.989074,0.169438,0.022175,0.130873
0.550000,0.975528,0.176587,0.022392,0.126802
0.566667,0.956773,0.184666,0.022692,0.122879
0.583333,0.933013,0.193416,0.023072,0.119286
0.600000,0.904508,0.202600,0.023528,0.116130
0.616667,0.871572,0.211972,0.024055,0.113481
0.633333,0.834565,0.221268,0.024647,0.111390
0.650000,0.793893,0.230198,0.025298,0.109896
0.666667,0.750000,0.238458,0.026000,0.109034
0.683333,0.703368,0.245745,0.026746,0.108837
0.700000,0.654508,0.251766,0.027528,0.109339
0.716667,0.603956,0.256270,0.028337,0.110574
0.733333,0.552264,0.259057,0.029164,0.112577
0.750000,0.500000,0.260000,0.030000,0.115385
0.766667,0.447736,0.259057,0.030836,0.119033
0.783333,0.396044,0.256270,0.031663,0.123554
0.800000,0.345492,0.251766,0.032472,0.128977
0.816667,0.296632,0.245745,0.033254,0.135319
0.833333,0.250000,0.238458,0.034000,0.142583
0.850000,0.206107,0.230198,0.034702,0.150750
0.866667,0.165435,0.221268,0.035353,0.159775
0.883333,0.128428,0.211972,0.035945,0.169575
0.900000,0.095492,0.202600,0.036472,0.180021
0.916667,0.066987,0.193416,0.036928,0.190926
0.933333,0.043227,0.184666,0.037308,0.202031
0.950000,0.024472,0.176587,0.037608,0.212974
0.966667,0.010926,0.169438,0.037825,0.223239
0.983333,0.002739,0.163584,0.037956,0.232029
1.000000,0.000000,0.160000,0.038000,0.237500
