# NACA 0016 - GENERATED BY cad/tools/make-geometry.py
#
# Computed from the published NACA four-digit equations, not transcribed:
#   y_t = 5t(0.2969*sqrt(x) - 0.1260x - 0.3516x^2 + 0.2843x^3 - 0.1015x^4)
# Abbott & von Doenhoff, 'Theory of Wing Sections' (Dover, 1959), Sec. 6.4.
# Closed form (-0.1036), then blunted to a finite TE. x,y are fractions of chord.
# max camber m=0.0000 at p=0.10, thickness t=0.1600
#
# Role: symmetric hydrofoil for the VSP blade, 16% thick, pitch axis at 30% chord per the brief.
#
# TRAILING EDGE IS BLUNTED, deliberately. The classic open-TE form leaves an
# arbitrary ~0.17% residue - at this chord that is a knife edge, and the underwater
# brief forbids it: 'hold a minimum TE thickness (1 mm at this scale) so the blade is
# castable and printable.' So the closed form (-0.1036) is used and 1.0 mm of TE is
# added linearly over a 70 mm chord. Scale the chord and the TE scales with it.
# Exact and re-derivable. Regenerate rather than edit.
x_c,y_t,y_camber,x_upper,y_upper,x_lower,y_lower
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000385,0.004627,0.000000,0.000385,0.004627,0.000385,-0.004627
0.001541,0.009180,0.000000,0.001541,0.009180,0.001541,-0.009180
0.003466,0.013655,0.000000,0.003466,0.013655,0.003466,-0.013655
0.006156,0.018048,0.000000,0.006156,0.018048,0.006156,-0.018048
0.009607,0.022355,0.000000,0.009607,0.022355,0.009607,-0.022355
0.013815,0.026571,0.000000,0.013815,0.026571,0.013815,-0.026571
0.018772,0.030687,0.000000,0.018772,0.030687,0.018772,-0.030687
0.024472,0.034699,0.000000,0.024472,0.034699,0.024472,-0.034699
0.030904,0.038599,0.000000,0.030904,0.038599,0.030904,-0.038599
0.038060,0.042378,0.000000,0.038060,0.042378,0.038060,-0.042378
0.045928,0.046030,0.000000,0.045928,0.046030,0.045928,-0.046030
0.054497,0.049545,0.000000,0.054497,0.049545,0.054497,-0.049545
0.063752,0.052915,0.000000,0.063752,0.052915,0.063752,-0.052915
0.073680,0.056133,0.000000,0.073680,0.056133,0.073680,-0.056133
0.084265,0.059191,0.000000,0.084265,0.059191,0.084265,-0.059191
0.095492,0.062081,0.000000,0.095492,0.062081,0.095492,-0.062081
0.107342,0.064795,0.000000,0.107342,0.064795,0.107342,-0.064795
0.119797,0.067327,0.000000,0.119797,0.067327,0.119797,-0.067327
0.132839,0.069672,0.000000,0.132839,0.069672,0.132839,-0.069672
0.146447,0.071823,0.000000,0.146447,0.071823,0.146447,-0.071823
0.160600,0.073777,0.000000,0.160600,0.073777,0.160600,-0.073777
0.175276,0.075529,0.000000,0.175276,0.075529,0.175276,-0.075529
0.190453,0.077078,0.000000,0.190453,0.077078,0.190453,-0.077078
0.206107,0.078421,0.000000,0.206107,0.078421,0.206107,-0.078421
0.222215,0.079558,0.000000,0.222215,0.079558,0.222215,-0.079558
0.238751,0.080489,0.000000,0.238751,0.080489,0.238751,-0.080489
0.255689,0.081215,0.000000,0.255689,0.081215,0.255689,-0.081215
0.273005,0.081738,0.000000,0.273005,0.081738,0.273005,-0.081738
0.290670,0.082062,0.000000,0.290670,0.082062,0.290670,-0.082062
0.308658,0.082189,0.000000,0.308658,0.082189,0.308658,-0.082189
0.326941,0.082126,0.000000,0.326941,0.082126,0.326941,-0.082126
0.345492,0.081877,0.000000,0.345492,0.081877,0.345492,-0.081877
0.364280,0.081448,0.000000,0.364280,0.081448,0.364280,-0.081448
0.383277,0.080847,0.000000,0.383277,0.080847,0.383277,-0.080847
0.402455,0.080081,0.000000,0.402455,0.080081,0.402455,-0.080081
0.421783,0.079157,0.000000,0.421783,0.079157,0.421783,-0.079157
0.441231,0.078084,0.000000,0.441231,0.078084,0.441231,-0.078084
0.460770,0.076870,0.000000,0.460770,0.076870,0.460770,-0.076870
0.480370,0.075523,0.000000,0.480370,0.075523,0.480370,-0.075523
0.500000,0.074053,0.000000,0.500000,0.074053,0.500000,-0.074053
0.519630,0.072469,0.000000,0.519630,0.072469,0.519630,-0.072469
0.539230,0.070780,0.000000,0.539230,0.070780,0.539230,-0.070780
0.558769,0.068993,0.000000,0.558769,0.068993,0.558769,-0.068993
0.578217,0.067120,0.000000,0.578217,0.067120,0.578217,-0.067120
0.597545,0.065167,0.000000,0.597545,0.065167,0.597545,-0.065167
0.616723,0.063145,0.000000,0.616723,0.063145,0.616723,-0.063145
0.635720,0.061060,0.000000,0.635720,0.061060,0.635720,-0.061060
0.654508,0.058923,0.000000,0.654508,0.058923,0.654508,-0.058923
0.673059,0.056741,0.000000,0.673059,0.056741,0.673059,-0.056741
0.691342,0.054523,0.000000,0.691342,0.054523,0.691342,-0.054523
0.709330,0.052275,0.000000,0.709330,0.052275,0.709330,-0.052275
0.726995,0.050007,0.000000,0.726995,0.050007,0.726995,-0.050007
0.744311,0.047725,0.000000,0.744311,0.047725,0.744311,-0.047725
0.761249,0.045438,0.000000,0.761249,0.045438,0.761249,-0.045438
0.777785,0.043153,0.000000,0.777785,0.043153,0.777785,-0.043153
0.793893,0.040877,0.000000,0.793893,0.040877,0.793893,-0.040877
0.809547,0.038618,0.000000,0.809547,0.038618,0.809547,-0.038618
0.824724,0.036383,0.000000,0.824724,0.036383,0.824724,-0.036383
0.839400,0.034179,0.000000,0.839400,0.034179,0.839400,-0.034179
0.853553,0.032015,0.000000,0.853553,0.032015,0.853553,-0.032015
0.867161,0.029896,0.000000,0.867161,0.029896,0.867161,-0.029896
0.880203,0.027831,0.000000,0.880203,0.027831,0.880203,-0.027831
0.892658,0.025826,0.000000,0.892658,0.025826,0.892658,-0.025826
0.904508,0.023889,0.000000,0.904508,0.023889,0.904508,-0.023889
0.915735,0.022026,0.000000,0.915735,0.022026,0.915735,-0.022026
0.926320,0.020245,0.000000,0.926320,0.020245,0.926320,-0.020245
0.936248,0.018552,0.000000,0.936248,0.018552,0.936248,-0.018552
0.945503,0.016955,0.000000,0.945503,0.016955,0.945503,-0.016955
0.954072,0.015458,0.000000,0.954072,0.015458,0.954072,-0.015458
0.961940,0.014069,0.000000,0.961940,0.014069,0.961940,-0.014069
0.969096,0.012794,0.000000,0.969096,0.012794,0.969096,-0.012794
0.975528,0.011637,0.000000,0.975528,0.011637,0.975528,-0.011637
0.981228,0.010603,0.000000,0.981228,0.010603,0.981228,-0.010603
0.986185,0.009698,0.000000,0.986185,0.009698,0.986185,-0.009698
0.990393,0.008925,0.000000,0.990393,0.008925,0.990393,-0.008925
0.993844,0.008287,0.000000,0.993844,0.008287,0.993844,-0.008287
0.996534,0.007788,0.000000,0.996534,0.007788,0.996534,-0.007788
0.998459,0.007430,0.000000,0.998459,0.007430,0.998459,-0.007430
0.999615,0.007215,0.000000,0.999615,0.007215,0.999615,-0.007215
1.000000,0.007143,0.000000,1.000000,0.007143,1.000000,-0.007143
