# Prototype 1B-14 loop sections (design B) - SYNTHETIC, GENERATED BY scripts/make_geometry.py
# Design frame: mm, axis +z, omega +z, jet +z. Generator line at 50% chord.
# s = path length from the leading root; beta = face pitch angle.
k,s_mm,r_mm,theta_deg,z_mm,beta_deg,chord_mm,thickness_mm,t_c
0,0.0000,11.5000,0.0000,-8.0413,38.9363,14.3750,4.4351,0.3000
1,0.7891,12.2891,0.0000,-8.0413,37.0917,14.3750,4.4351,0.3000
2,1.5782,13.0782,0.0000,-8.0413,35.3918,14.3750,4.4351,0.3000
3,2.3673,13.8673,0.0000,-8.0413,33.8229,14.3750,4.4351,0.3000
4,3.1564,14.6564,0.0000,-8.0413,32.3726,13.6443,3.6843,0.2610
5,3.9455,15.4455,-0.0004,-8.0410,31.0295,13.0880,3.0825,0.2261
6,4.7346,16.2345,-0.0079,-8.0361,29.7834,12.9679,2.7656,0.2038
7,5.5236,17.0235,-0.0245,-8.0251,28.6255,13.1031,2.6834,0.1954
8,6.3127,17.8124,-0.0503,-8.0081,27.5476,13.3627,2.7087,0.1935
9,7.1018,18.6011,-0.0852,-7.9851,26.5425,13.6208,2.7335,0.1917
10,7.8909,19.3895,-0.1293,-7.9560,25.6036,13.8770,2.7577,0.1899
11,8.6800,20.1776,-0.1825,-7.9209,24.7251,14.1309,2.7813,0.1881
12,9.4691,20.9653,-0.2448,-7.8798,23.9019,14.3821,2.8043,0.1864
13,10.2582,21.7525,-0.3162,-7.8327,23.1293,14.6301,2.8266,0.1848
14,11.0473,22.5392,-0.3961,-7.7794,22.4030,14.8745,2.8483,0.1832
15,11.8364,23.3252,-0.4638,-7.7151,21.7194,15.1148,2.8692,0.1817
16,12.6255,24.1102,-0.5094,-7.6372,21.0752,15.3507,2.8894,0.1802
17,13.4146,24.8939,-0.5328,-7.5458,20.4675,15.5816,2.9089,0.1788
18,14.2037,25.6760,-0.5337,-7.4410,19.8937,15.8072,2.9276,0.1774
19,14.9928,26.4561,-0.5121,-7.3228,19.3513,16.0269,2.9456,0.1761
20,15.7819,27.2339,-0.4674,-7.1913,18.8381,16.2405,2.9628,0.1749
21,16.5709,28.0088,-0.3995,-7.0465,18.3522,16.4474,2.9793,0.1737
22,17.3600,28.7806,-0.3078,-6.8885,17.8919,16.6474,2.9949,0.1725
23,18.1491,29.5486,-0.1919,-6.7173,17.4554,16.8400,3.0098,0.1714
24,18.9382,30.3123,-0.0512,-6.5331,17.0414,17.0250,3.0239,0.1704
25,19.7273,31.0712,0.1149,-6.3360,16.6485,17.2020,3.0372,0.1694
26,20.5164,31.8245,0.3071,-6.1260,16.2755,17.3707,3.0497,0.1685
27,21.3055,32.5714,0.5260,-5.9034,15.9214,17.5310,3.0615,0.1676
28,22.0946,33.3112,0.7724,-5.6684,15.5852,17.6825,3.0725,0.1668
29,22.8837,34.0429,1.0472,-5.4212,15.2660,17.8251,3.0827,0.1660
30,23.6728,34.7656,1.3510,-5.1622,14.9630,17.9587,3.0922,0.1653
31,24.4619,35.4780,1.6846,-4.8916,14.6757,18.0832,3.1009,0.1647
32,25.2510,36.1790,2.0489,-4.6100,14.4033,18.1985,3.1090,0.1641
33,26.0401,36.8672,2.4444,-4.3179,14.1453,18.3046,3.1163,0.1635
34,26.8291,37.5413,2.8719,-4.0159,13.9012,18.4017,3.1229,0.1630
35,27.6182,38.1995,3.3318,-3.7048,13.6707,18.4897,3.1289,0.1626
36,28.4073,38.8404,3.8245,-3.3853,13.4534,18.5689,3.1343,0.1622
37,29.1964,39.4623,4.3503,-3.0585,13.2490,18.6396,3.1390,0.1618
38,29.9855,40.0632,4.9090,-2.7253,13.0571,18.7021,3.1432,0.1615
39,30.7746,40.6416,5.5005,-2.3870,12.8775,18.7567,3.1469,0.1612
40,31.5637,41.1958,6.1241,-2.0448,12.7099,18.8039,3.1500,0.1610
