# Prototype 1B-14 loop sections - SYNTHETIC, GENERATED BY scripts/make_geometry.py
# Design frame: mm, axis +z, omega +z, jet +z. Generator line at 50% chord.
# s = path length from the leading root; beta = face pitch angle.
k,s_mm,r_mm,theta_deg,z_mm,beta_deg,chord_mm,thickness_mm,t_c
0,0.0000,11.5000,0.0000,-6.1889,38.9363,14.3750,4.4351,0.3000
1,0.7024,12.2024,0.0000,-6.1889,37.2870,14.3750,4.4351,0.3000
2,1.4048,12.9048,0.0000,-6.1889,35.7536,14.3750,4.4351,0.3000
3,2.1072,13.6072,0.0000,-6.1889,34.3263,14.3750,4.4351,0.3000
4,2.8096,14.3096,0.0000,-6.1889,32.9960,14.0079,4.0508,0.2804
5,3.5121,15.0121,0.0000,-6.1889,31.7545,13.3233,3.3725,0.2439
6,4.2145,15.7145,-0.0017,-6.1875,30.5942,13.0098,2.9460,0.2170
7,4.9169,16.4168,-0.0098,-6.1811,29.5084,12.9539,2.7240,0.2008
8,5.6193,17.1191,-0.0243,-6.1694,28.4908,13.1002,2.6831,0.1954
9,6.3217,17.8213,-0.0453,-6.1526,27.5359,13.3188,2.7045,0.1938
10,7.0241,18.5233,-0.0727,-6.1306,26.6385,13.5364,2.7255,0.1923
11,7.7265,19.2251,-0.1067,-6.1034,25.7942,13.7528,2.7461,0.1907
12,8.4289,19.9266,-0.1472,-6.0710,24.9987,13.9676,2.7662,0.1892
13,9.1313,20.6279,-0.1941,-6.0335,24.2482,14.1807,2.7859,0.1878
14,9.8338,21.3287,-0.2474,-5.9908,23.5393,14.3917,2.8052,0.1864
15,10.5362,22.0291,-0.3072,-5.9429,22.8689,14.6005,2.8240,0.1850
16,11.2386,22.7290,-0.3734,-5.8899,22.2342,14.8067,2.8423,0.1837
17,11.9410,23.4284,-0.4460,-5.8318,21.6326,15.0101,2.8601,0.1824
18,12.6434,24.1272,-0.5249,-5.7685,21.0617,15.2105,2.8774,0.1811
19,13.3458,24.8253,-0.6102,-5.7002,20.5194,15.4077,2.8943,0.1799
20,14.0482,25.5227,-0.7019,-5.6269,20.0037,15.6014,2.9106,0.1787
21,14.7506,26.2194,-0.7998,-5.5485,19.5128,15.7913,2.9263,0.1775
22,15.4530,26.9151,-0.9040,-5.4650,19.0452,15.9774,2.9416,0.1764
23,16.1555,27.6100,-1.0144,-5.3766,18.5993,16.1592,2.9563,0.1753
24,16.8579,28.3038,-1.1310,-5.2833,18.1736,16.3368,2.9705,0.1743
25,17.5603,28.9966,-1.2537,-5.1850,17.7670,16.5097,2.9842,0.1733
26,18.2627,29.6882,-1.3826,-5.0818,17.3783,16.6780,2.9973,0.1723
27,18.9651,30.3787,-1.5175,-4.9738,17.0064,16.8413,3.0099,0.1714
28,19.6675,31.0678,-1.6584,-4.8609,16.6502,16.9995,3.0220,0.1705
29,20.3699,31.7556,-1.8053,-4.7433,16.3090,17.1525,3.0335,0.1697
30,21.0723,32.4420,-1.9581,-4.6210,15.9817,17.3000,3.0445,0.1689
31,21.7747,33.1268,-2.1167,-4.4939,15.6677,17.4420,3.0550,0.1681
32,22.4772,33.8100,-2.2812,-4.3623,15.3662,17.5783,3.0649,0.1674
33,23.1796,34.4916,-2.4513,-4.2260,15.0765,17.7088,3.0743,0.1667
34,23.8820,35.1714,-2.6271,-4.0853,14.7980,17.8333,3.0833,0.1660
35,24.5844,35.8494,-2.8085,-3.9400,14.5301,17.9518,3.0917,0.1654
36,25.2868,36.5254,-2.9954,-3.7903,14.2723,18.0642,3.0996,0.1648
37,25.9892,37.1995,-3.1878,-3.6363,14.0239,18.1704,3.1070,0.1642
38,26.6916,37.8714,-3.3855,-3.4780,13.7847,18.2703,3.1139,0.1637
39,27.3940,38.5412,-3.5885,-3.3155,13.5540,18.3638,3.1203,0.1632
40,28.0964,39.2087,-3.7943,-3.1470,13.3316,18.4510,3.1263,0.1628
41,28.7989,39.8715,-3.9699,-2.9491,13.1177,18.5314,3.1318,0.1624
42,29.5013,40.5270,-4.1049,-2.7155,12.9127,18.6049,3.1367,0.1620
43,30.2037,41.1727,-4.1989,-2.4475,12.7168,18.6714,3.1412,0.1617
44,30.9061,41.8060,-4.2513,-2.1464,12.5303,18.7308,3.1451,0.1614
45,31.6085,42.4245,-4.2614,-1.8137,12.3533,18.7832,3.1486,0.1611
46,32.3109,43.0253,-4.2287,-1.4510,12.1860,18.8287,3.1516,0.1609
47,33.0133,43.6057,-4.1521,-1.0598,12.0285,18.8677,3.1542,0.1607
48,33.7157,44.1625,-4.0309,-0.6421,11.8812,18.9004,3.1564,0.1605
49,34.4181,44.6927,-3.8642,-0.2001,11.7442,18.9273,3.1581,0.1604
50,35.1205,45.1927,-3.6514,0.2639,11.6178,18.9488,3.1595,0.1603
51,35.8230,45.6591,-3.3921,0.7469,11.5023,18.9654,3.1606,0.1602
