# Region type : sampledSurface rotorInflowPlane
# Faces         : 9716
# Area          : 7.15812196e-03
# Scale factor  : 1.00000000e+00
# Time          	areaNormalIntegrate(U)
10              	3.10099233e-03
20              	4.83805479e-03
30              	6.53043113e-03
40              	8.03363126e-03
50              	9.21496637e-03
60              	1.00651031e-02
70              	1.06134568e-02
80              	1.09628592e-02
90              	1.11792982e-02
100             	1.13309576e-02
110             	1.15179397e-02
120             	1.17643501e-02
130             	1.20373426e-02
140             	1.23247139e-02
150             	1.26205004e-02
160             	1.29366491e-02
170             	1.32506471e-02
180             	1.35319501e-02
190             	1.37609807e-02
200             	1.39312501e-02
210             	1.41057284e-02
220             	1.42715754e-02
230             	1.44349731e-02
240             	1.46531478e-02
250             	1.48987729e-02
260             	1.51469997e-02
270             	1.53732821e-02
280             	1.55592902e-02
290             	1.57120027e-02
300             	1.58839889e-02
310             	1.60983531e-02
320             	1.62940178e-02
330             	1.65167229e-02
340             	1.67406962e-02
350             	1.69439756e-02
360             	1.71034718e-02
370             	1.72383874e-02
380             	1.73444884e-02
390             	1.74288708e-02
400             	1.74947556e-02
410             	1.75073129e-02
420             	1.74770175e-02
430             	1.73910478e-02
440             	1.72984046e-02
450             	1.72479068e-02
460             	1.72472105e-02
470             	1.72615923e-02
480             	1.73233512e-02
490             	1.74072077e-02
500             	1.74791332e-02
510             	1.75155364e-02
520             	1.75312823e-02
530             	1.75338308e-02
540             	1.75119007e-02
550             	1.74813037e-02
560             	1.74586326e-02
570             	1.74140917e-02
580             	1.73967108e-02
590             	1.74261038e-02
600             	1.74532124e-02
610             	1.74463571e-02
620             	1.74259842e-02
630             	1.74054597e-02
640             	1.74461909e-02
650             	1.75152605e-02
660             	1.75710964e-02
670             	1.76678915e-02
680             	1.77251577e-02
690             	1.77856632e-02
700             	1.78308387e-02
710             	1.78765533e-02
720             	1.78791296e-02
730             	1.78536978e-02
740             	1.77764663e-02
750             	1.77220011e-02
760             	1.77133286e-02
770             	1.77548877e-02
780             	1.78142017e-02
790             	1.78831179e-02
800             	1.79445062e-02
810             	1.79978762e-02
820             	1.81086422e-02
830             	1.82486175e-02
840             	1.83526138e-02
850             	1.84326782e-02
860             	1.84847571e-02
870             	1.85194829e-02
880             	1.85543312e-02
890             	1.86113347e-02
900             	1.86564155e-02
910             	1.86848241e-02
920             	1.87058874e-02
930             	1.86744598e-02
940             	1.86083685e-02
950             	1.84612613e-02
960             	1.83380723e-02
970             	1.82842865e-02
980             	1.82568648e-02
990             	1.82587597e-02
1000            	1.82898347e-02
1010            	1.82709502e-02
1020            	1.82198873e-02
1030            	1.81286772e-02
1040            	1.80803111e-02
1050            	1.80900353e-02
1060            	1.80831253e-02
1070            	1.80549832e-02
1080            	1.79935615e-02
1090            	1.79700564e-02
1100            	1.79776424e-02
1110            	1.79920747e-02
1120            	1.80003265e-02
1130            	1.79775980e-02
1140            	1.79471113e-02
1150            	1.78822631e-02
1160            	1.77728928e-02
1170            	1.76827074e-02
1180            	1.76593766e-02
1190            	1.76981298e-02
1200            	1.77221376e-02
1210            	1.77279342e-02
1220            	1.77526466e-02
1230            	1.78169989e-02
1240            	1.78944924e-02
1250            	1.79583704e-02
1260            	1.79723358e-02
1270            	1.79789100e-02
1280            	1.79303123e-02
1290            	1.79112229e-02
1300            	1.79029155e-02
1310            	1.79080299e-02
1320            	1.79187923e-02
1330            	1.78811149e-02
1340            	1.78640965e-02
1350            	1.78411334e-02
1360            	1.77662963e-02
1370            	1.77110201e-02
1380            	1.76884793e-02
1390            	1.76476426e-02
1400            	1.76077654e-02
1410            	1.75840802e-02
1420            	1.75736358e-02
1430            	1.75814842e-02
1440            	1.75865351e-02
1450            	1.76071159e-02
1460            	1.76800787e-02
1470            	1.77855194e-02
1480            	1.79283445e-02
1490            	1.80572753e-02
1500            	1.81136842e-02
1510            	1.81194213e-02
1520            	1.80854162e-02
1530            	1.80276046e-02
1540            	1.79893546e-02
1550            	1.79995771e-02
1560            	1.80549628e-02
1570            	1.81385389e-02
1580            	1.82349176e-02
1590            	1.82920905e-02
1600            	1.83130420e-02
1610            	1.82940792e-02
1620            	1.82125682e-02
1630            	1.81282925e-02
1640            	1.80984773e-02
1650            	1.80819815e-02
1660            	1.80770279e-02
1670            	1.80864747e-02
1680            	1.81186511e-02
1690            	1.81826635e-02
1700            	1.82430835e-02
1710            	1.83282841e-02
1720            	1.83280065e-02
1730            	1.83100364e-02
1740            	1.82995332e-02
1750            	1.82784255e-02
1760            	1.82339084e-02
1770            	1.81611761e-02
1780            	1.80917177e-02
1790            	1.79918084e-02
1800            	1.79198632e-02
1810            	1.79296675e-02
1820            	1.79598489e-02
1830            	1.79275303e-02
1840            	1.78720853e-02
1850            	1.78661234e-02
1860            	1.79478144e-02
1870            	1.80674763e-02
1880            	1.81523645e-02
1890            	1.81558463e-02
1900            	1.81485597e-02
1910            	1.81475953e-02
1920            	1.81350621e-02
1930            	1.80900621e-02
1940            	1.80384971e-02
1950            	1.80052531e-02
1960            	1.80093905e-02
1970            	1.80414134e-02
1980            	1.80467620e-02
1990            	1.80278172e-02
2000            	1.79569733e-02
2010            	1.79217612e-02
2020            	1.79195145e-02
2030            	1.79463513e-02
2040            	1.80047003e-02
2050            	1.80452342e-02
2060            	1.80472396e-02
2070            	1.80009056e-02
2080            	1.79269343e-02
2090            	1.78469286e-02
2100            	1.77903228e-02
2110            	1.77628956e-02
2120            	1.77954005e-02
2130            	1.79019308e-02
2140            	1.80497681e-02
2150            	1.81725357e-02
2160            	1.82750018e-02
2170            	1.83330128e-02
2180            	1.83572080e-02
2190            	1.83620140e-02
2200            	1.82914697e-02
2210            	1.81695024e-02
2220            	1.80317734e-02
2230            	1.79155056e-02
2240            	1.78236287e-02
2250            	1.77715061e-02
2260            	1.77464691e-02
2270            	1.76827077e-02
2280            	1.76318020e-02
2290            	1.76099360e-02
2300            	1.76606107e-02
2310            	1.77181467e-02
2320            	1.77720342e-02
2330            	1.78154082e-02
2340            	1.78297561e-02
2350            	1.78619912e-02
2360            	1.79040982e-02
2370            	1.79383554e-02
2380            	1.79392428e-02
2390            	1.79150884e-02
2400            	1.78896661e-02
2410            	1.78966013e-02
2420            	1.79158875e-02
2430            	1.79450757e-02
2440            	1.79565964e-02
2450            	1.79790003e-02
2460            	1.80031515e-02
2470            	1.79979603e-02
2480            	1.80348642e-02
2490            	1.81441810e-02
2500            	1.82380198e-02
2510            	1.83071206e-02
2520            	1.83373309e-02
2530            	1.82861625e-02
2540            	1.81913925e-02
2550            	1.81253701e-02
2560            	1.81121939e-02
2570            	1.81176231e-02
2580            	1.81061783e-02
2590            	1.81144858e-02
2600            	1.81943750e-02
2610            	1.82570182e-02
2620            	1.82761529e-02
2630            	1.82809169e-02
2640            	1.82635863e-02
2650            	1.82291373e-02
2660            	1.81071657e-02
2670            	1.79726853e-02
2680            	1.78727331e-02
2690            	1.78119292e-02
2700            	1.78006207e-02
2710            	1.78043861e-02
2720            	1.78532696e-02
2730            	1.79239623e-02
2740            	1.79611874e-02
2750            	1.79942732e-02
2760            	1.80004740e-02
2770            	1.79938456e-02
2780            	1.80100008e-02
2790            	1.80500794e-02
2800            	1.80580783e-02
2810            	1.80066997e-02
2820            	1.79278760e-02
2830            	1.78734173e-02
2840            	1.78856617e-02
2850            	1.79453625e-02
2860            	1.80299251e-02
2870            	1.80950680e-02
2880            	1.81463885e-02
2890            	1.81967651e-02
2900            	1.82964854e-02
2910            	1.83873674e-02
2920            	1.84067927e-02
2930            	1.83600199e-02
2940            	1.82968876e-02
2950            	1.82520058e-02
2960            	1.82319702e-02
2970            	1.82268279e-02
2980            	1.82291475e-02
2990            	1.82127519e-02
3000            	1.81774845e-02
3010            	1.81142388e-02
3020            	1.80831731e-02
3030            	1.80322201e-02
3040            	1.79825432e-02
3050            	1.79111759e-02
3060            	1.78739228e-02
3070            	1.78310696e-02
3080            	1.77478382e-02
3090            	1.76570979e-02
3100            	1.75663491e-02
3110            	1.74972959e-02
3120            	1.74560691e-02
3130            	1.74557963e-02
3140            	1.75198360e-02
3150            	1.76247778e-02
3160            	1.77350867e-02
3170            	1.78462064e-02
3180            	1.79935386e-02
3190            	1.81248346e-02
3200            	1.82309901e-02
3210            	1.83215715e-02
3220            	1.83780842e-02
3230            	1.84471746e-02
3240            	1.84714008e-02
3250            	1.84396697e-02
3260            	1.84052732e-02
3270            	1.83966023e-02
3280            	1.83938622e-02
3290            	1.83675689e-02
3300            	1.83559260e-02
3310            	1.83555412e-02
3320            	1.83393614e-02
3330            	1.83097020e-02
3340            	1.82625708e-02
3350            	1.81959604e-02
3360            	1.81216868e-02
3370            	1.81041184e-02
3380            	1.81007984e-02
3390            	1.81071504e-02
3400            	1.80936718e-02
3410            	1.80671561e-02
3420            	1.80290937e-02
3430            	1.79517136e-02
3440            	1.78429117e-02
3450            	1.77661291e-02
3460            	1.77486079e-02
3470            	1.77400827e-02
3480            	1.77798829e-02
3490            	1.78681030e-02
3500            	1.79204522e-02
3510            	1.79350199e-02
3520            	1.79387510e-02
3530            	1.79953362e-02
3540            	1.80339885e-02
3550            	1.80246124e-02
3560            	1.79960687e-02
3570            	1.79428403e-02
3580            	1.78700133e-02
3590            	1.78160496e-02
3600            	1.78183488e-02
3610            	1.78404663e-02
3620            	1.78619835e-02
3630            	1.78235995e-02
3640            	1.77705978e-02
3650            	1.77613111e-02
3660            	1.77993399e-02
3670            	1.78446284e-02
3680            	1.78988758e-02
3690            	1.79509796e-02
3700            	1.79860730e-02
3710            	1.80174411e-02
3720            	1.80210533e-02
3730            	1.79434036e-02
3740            	1.78549727e-02
3750            	1.78137583e-02
3760            	1.78210137e-02
3770            	1.78101991e-02
3780            	1.78388005e-02
3790            	1.78814744e-02
3800            	1.79168802e-02
3810            	1.79261694e-02
3820            	1.79239459e-02
3830            	1.79621382e-02
3840            	1.79689724e-02
3850            	1.79823373e-02
3860            	1.80113024e-02
3870            	1.80525453e-02
3880            	1.81152209e-02
3890            	1.81683830e-02
3900            	1.81947247e-02
3910            	1.82142029e-02
3920            	1.82039471e-02
3930            	1.81784888e-02
3940            	1.81628971e-02
3950            	1.81772934e-02
3960            	1.81951409e-02
3970            	1.81965332e-02
3980            	1.81997362e-02
3990            	1.81836630e-02
4000            	1.81773958e-02
4010            	1.81741764e-02
4020            	1.81076035e-02
4030            	1.80212160e-02
4040            	1.79292533e-02
4050            	1.78210298e-02
4060            	1.77431747e-02
4070            	1.77186873e-02
4080            	1.77621626e-02
4090            	1.78755316e-02
4100            	1.79943451e-02
4110            	1.80928696e-02
4120            	1.81676977e-02
4130            	1.82125886e-02
4140            	1.82445470e-02
4150            	1.82673948e-02
4160            	1.82840070e-02
4170            	1.82467025e-02
4180            	1.81760852e-02
4190            	1.80814762e-02
4200            	1.79931513e-02
4210            	1.79432475e-02
4220            	1.79422729e-02
4230            	1.80281370e-02
4240            	1.81629972e-02
4250            	1.82767413e-02
4260            	1.83635914e-02
4270            	1.84025538e-02
4280            	1.84683936e-02
4290            	1.85231750e-02
4300            	1.85298633e-02
4310            	1.84585517e-02
4320            	1.83509751e-02
4330            	1.82521297e-02
4340            	1.81580487e-02
4350            	1.81076188e-02
4360            	1.81344088e-02
4370            	1.82173188e-02
4380            	1.83017689e-02
4390            	1.84459654e-02
4400            	1.86212548e-02
4410            	1.87119694e-02
4420            	1.86911431e-02
4430            	1.85356284e-02
4440            	1.83714994e-02
4450            	1.82998998e-02
4460            	1.82957914e-02
