# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
10              	p               	-3.33370746e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	7.08886637e+01	(-1.93577646e-03 -1.63204951e-03 -4.69819988e-02)	2
20              	p               	-3.12934476e+02	(-2.20917467e-03 -2.36168241e-03 -4.87767560e-02)	2	1.02833365e+02	(-1.94707289e-03 4.14687777e-02 2.20652874e-02)	5
30              	p               	-2.83678384e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	9.95120407e+01	(-1.94707289e-03 4.14687777e-02 2.20652874e-02)	5
40              	p               	-2.47240572e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.00079850e+02	(-1.93577646e-03 -1.63204951e-03 -4.69819988e-02)	2
50              	p               	-2.44912327e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.00925424e+02	(-2.17041234e-03 4.17219255e-02 2.20403389e-02)	5
60              	p               	-2.44445375e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.01467814e+02	(-2.17041234e-03 4.17219255e-02 2.20403389e-02)	5
70              	p               	-2.35262570e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.01464983e+02	(-2.17041234e-03 4.17219255e-02 2.20403389e-02)	5
80              	p               	-2.28327776e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.01535339e+02	(-1.96147706e-03 -3.97174311e-02 2.47895186e-02)	0
90              	p               	-2.24373059e+02	(-2.19759806e-03 4.34834873e-02 2.23182238e-02)	5	1.00264587e+02	(-1.96147706e-03 -3.97174311e-02 2.47895186e-02)	0
100             	p               	-2.26646940e+02	(5.79604643e-03 1.67363739e-03 -4.55100025e-02)	2	9.75438120e+01	(-1.96147706e-03 -3.97174311e-02 2.47895186e-02)	0
110             	p               	-2.30554826e+02	(5.79604643e-03 1.67363739e-03 -4.55100025e-02)	2	9.09764791e+01	(-1.93807112e-03 -3.94364271e-02 2.45723952e-02)	0
120             	p               	-2.37296808e+02	(5.79604643e-03 1.67363739e-03 -4.55100025e-02)	2	8.46437095e+01	(3.40756471e-03 -1.13765914e-02 4.97928497e-02)	0
130             	p               	-2.39929793e+02	(5.79604643e-03 1.67363739e-03 -4.55100025e-02)	2	8.80347476e+01	(4.15570695e-04 -4.97952178e-02 -1.13800713e-02)	1
140             	p               	-1.97654052e+02	(5.79604643e-03 1.67363739e-03 -4.55100025e-02)	2	9.26070197e+01	(-8.30985602e-05 -4.97952203e-02 -1.13800726e-02)	1
150             	p               	-1.88355548e+02	(1.79604883e-03 3.33793209e-02 3.13949915e-02)	4	9.21508080e+01	(-8.30985602e-05 -4.97952203e-02 -1.13800726e-02)	1
160             	p               	-1.91640379e+02	(1.79604883e-03 3.33793209e-02 3.13949915e-02)	4	9.23371586e+01	(2.41023035e-03 -1.13765652e-02 4.97929603e-02)	0
170             	p               	-1.88940468e+02	(1.79604883e-03 3.33793209e-02 3.13949915e-02)	4	8.97134448e+01	(2.41023035e-03 -1.13765652e-02 4.97929603e-02)	0
180             	p               	-1.85560033e+02	(5.01375598e-05 -3.99332452e-02 2.30817830e-02)	0	9.07674288e+01	(-7.56299477e-03 -3.25987080e-02 -3.96791428e-02)	1
190             	p               	-1.91175514e+02	(5.01375598e-05 -3.99332452e-02 2.30817830e-02)	0	1.04587366e+02	(-1.30049494e-02 -4.16890508e-02 3.00666237e-02)	0
200             	p               	-1.97887620e+02	(2.92322940e-04 -4.01925194e-02 2.30838825e-02)	0	1.05005449e+02	(-1.30049494e-02 -4.16890508e-02 3.00666237e-02)	0
210             	p               	-2.05189612e+02	(2.92322940e-04 -4.01925194e-02 2.30838825e-02)	0	1.05850888e+02	(-4.57105231e-03 3.00398025e-02 4.16528599e-02)	4
220             	p               	-2.07989438e+02	(2.92322940e-04 -4.01925194e-02 2.30838825e-02)	0	1.20960051e+02	(-4.07235017e-03 3.25985393e-02 3.96789501e-02)	4
230             	p               	-2.07153126e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.26085458e+02	(-3.57368049e-03 3.25985180e-02 3.96789325e-02)	4
240             	p               	-2.04593273e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.26616352e+02	(-8.31056147e-05 4.01289388e-02 -3.20485464e-02)	5
250             	p               	-2.01825527e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.29986193e+02	(-1.57906173e-03 3.00397607e-02 4.16528281e-02)	4
260             	p               	-2.01353093e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.33300742e+02	(-1.08039663e-03 3.00397562e-02 4.16528262e-02)	4
270             	p               	-2.00340023e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.31856490e+02	(-1.39933197e-02 3.40960696e-02 3.86421042e-02)	4
280             	p               	-1.94675181e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.19158167e+02	(-8.30674629e-05 3.00397504e-02 4.16528259e-02)	4
290             	p               	-1.83426209e+02	(5.42125314e-04 -4.04331510e-02 2.30882865e-02)	0	1.21301475e+02	(4.17263921e-04 -4.42020517e-02 2.60151644e-02)	0
300             	p               	-1.79630940e+02	(1.03375921e-03 6.23333508e-04 -4.67596454e-02)	2	1.37389783e+02	(4.14168868e-04 -4.21826465e-02 2.95621088e-02)	0
310             	p               	-1.80599648e+02	(1.03375921e-03 6.23333508e-04 -4.67596454e-02)	2	1.37599925e+02	(4.11368297e-04 4.66804758e-02 2.09407615e-02)	5
320             	p               	-1.76931891e+02	(1.03375921e-03 6.23333508e-04 -4.67596454e-02)	2	1.34486443e+02	(4.11368297e-04 4.66804758e-02 2.09407615e-02)	5
330             	p               	-1.71371168e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.28568979e+02	(3.40851148e-03 -4.56623224e-02 2.34601321e-02)	0
340             	p               	-1.74047648e+02	(-1.42749627e-03 -4.09410362e-02 2.80839175e-02)	0	1.22896032e+02	(-8.06156286e-03 3.25984958e-02 3.96788903e-02)	4
350             	p               	-1.68944466e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.17411410e+02	(-8.06156286e-03 3.25984958e-02 3.96788903e-02)	4
360             	p               	-1.67838551e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.34919985e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
370             	p               	-1.75972163e+02	(1.03850498e-02 2.19528353e-02 4.61776798e-02)	4	1.50308700e+02	(9.13029129e-04 -4.01161347e-02 3.20365111e-02)	0
380             	p               	-1.65820510e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.32955066e+02	(9.13029129e-04 -4.01161347e-02 3.20365111e-02)	0
390             	p               	-1.67154239e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.45320209e+02	(6.89815886e-03 4.01289465e-02 -3.20485498e-02)	5
400             	p               	-1.71212602e+02	(1.38266424e-02 -4.42010280e-02 2.65223907e-02)	0	1.53996131e+02	(7.39677199e-03 4.01289621e-02 -3.20485609e-02)	5
410             	p               	-2.05607606e+02	(1.38266424e-02 -4.42010280e-02 2.65223907e-02)	0	1.69061833e+02	(9.39034145e-03 4.01293776e-02 -3.20489173e-02)	5
420             	p               	-2.19668894e+02	(1.38266424e-02 -4.42010280e-02 2.65223907e-02)	0	1.67050111e+02	(1.03850905e-02 4.01310528e-02 -3.20504159e-02)	5
430             	p               	-1.84598004e+02	(1.38203440e-02 -4.21912862e-02 2.95589492e-02)	0	1.57405193e+02	(1.03850905e-02 4.01310528e-02 -3.20504159e-02)	5
440             	p               	-1.67749191e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.38849602e+02	(1.38161057e-02 -3.86584601e-02 3.41094594e-02)	0
450             	p               	-1.72830212e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.39234413e+02	(9.13029129e-04 -4.01161347e-02 3.20365111e-02)	0
460             	p               	-1.78589772e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.39005409e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
470             	p               	-1.83899195e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.35972827e+02	(-1.57824955e-03 -4.01238896e-02 3.20440194e-02)	0
480             	p               	-1.86346167e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.33536245e+02	(-5.56838651e-03 2.60204328e-02 4.42113363e-02)	4
490             	p               	-1.86621810e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.43233228e+02	(-2.07535959e-03 -4.26604371e-02 2.85238985e-02)	0
500             	p               	-1.85005841e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.55224717e+02	(-2.07535959e-03 -4.26604371e-02 2.85238985e-02)	0
510             	p               	-1.80490602e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.58379470e+02	(4.17263921e-04 -4.42020517e-02 2.60151644e-02)	0
520             	p               	-1.73902669e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.52175841e+02	(4.17263921e-04 -4.42020517e-02 2.60151644e-02)	0
530             	p               	-1.73110732e+02	(1.38266424e-02 -4.42010280e-02 2.65223907e-02)	0	1.45133841e+02	(9.15103888e-04 -4.42010670e-02 2.60140748e-02)	0
540             	p               	-1.85461776e+02	(1.38266424e-02 -4.42010280e-02 2.65223907e-02)	0	1.39478362e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
550             	p               	-1.72734010e+02	(1.38203440e-02 -4.21912862e-02 2.95589492e-02)	0	1.42039954e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
560             	p               	-1.60823938e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.48503145e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
570             	p               	-1.61706861e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.53980492e+02	(4.15167086e-04 -4.01169756e-02 3.20374820e-02)	0
580             	p               	-1.60530864e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.50014277e+02	(1.90899861e-03 -4.01170268e-02 3.20371045e-02)	0
590             	p               	-1.59273531e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.40595913e+02	(-8.28458384e-05 -4.01185178e-02 3.20390602e-02)	0
600             	p               	-1.60071260e+02	(1.04096376e-03 1.18479076e-04 -4.69972771e-02)	2	1.47475466e+02	(-1.07861209e-03 -4.16300584e-02 3.00200190e-02)	0
