# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.99181930e-03	2	1.00000000e+00	9.04732600e-03	2	1.00000000e+00	9.09655310e-03	2	false	smoothSolver	1.00000000e+00	3.85076120e-02	1	true	smoothSolver	1.73360820e-02	8.66597820e-05	2	true	GAMG	1.00000000e+00	1.29476060e-02	6	true
2               	smoothSolver	1.21409780e-01	2.25971240e-03	2	1.66270040e-01	2.59288530e-03	2	1.66579060e-01	2.63444120e-03	2	false	smoothSolver	2.23070950e-01	1.58666500e-03	2	true	smoothSolver	1.64832680e-02	1.02678470e-04	2	true	GAMG	5.95341840e-03	8.14144600e-05	6	true
3               	smoothSolver	1.54893250e-01	5.49955780e-03	2	1.67146620e-01	5.05913480e-03	2	1.66935040e-01	5.11298590e-03	2	false	smoothSolver	9.70480650e-02	5.75567080e-04	2	true	smoothSolver	1.22043530e-02	9.25603270e-05	2	true	GAMG	1.95640500e-06	2.05528730e-08	5	true
4               	smoothSolver	1.48294410e-01	5.49733890e-03	2	1.49897510e-01	5.17824080e-03	2	1.50175080e-01	5.25299290e-03	2	false	smoothSolver	5.71523790e-02	2.65547180e-04	2	true	smoothSolver	1.05198080e-02	9.24692170e-05	2	true	GAMG	1.03085460e-06	1.32544970e-08	4	true
5               	smoothSolver	1.15677630e-01	4.31321530e-03	2	1.19189060e-01	4.19360120e-03	2	1.19432420e-01	4.24720550e-03	2	false	smoothSolver	4.47955810e-02	1.85298050e-03	1	true	smoothSolver	9.12475890e-03	8.85451120e-05	2	true	GAMG	7.69611350e-07	1.00293670e-08	4	true
6               	smoothSolver	8.15802310e-02	3.05334740e-03	2	8.61195220e-02	3.03244260e-03	2	8.66391500e-02	3.07212580e-03	2	false	smoothSolver	3.66396080e-02	1.43339230e-03	1	true	smoothSolver	8.32710090e-03	8.62741540e-05	2	true	GAMG	6.27842040e-07	1.06448090e-08	4	true
7               	smoothSolver	5.24138510e-02	1.96028040e-03	2	5.78910580e-02	1.95858340e-03	2	5.84527790e-02	1.98173960e-03	2	false	smoothSolver	3.14600160e-02	1.29297970e-03	1	true	smoothSolver	7.79226660e-03	8.38589900e-05	2	true	GAMG	5.30059050e-07	9.67867790e-09	4	true
8               	smoothSolver	3.26552620e-02	1.10564610e-03	2	4.10437590e-02	1.25387830e-03	2	4.12900240e-02	1.25035130e-03	2	false	smoothSolver	2.68872460e-02	1.24369350e-03	1	true	smoothSolver	7.40500670e-03	8.19624360e-05	2	true	GAMG	4.66364690e-07	7.77087770e-09	4	true
9               	smoothSolver	3.23421480e-02	1.08130620e-03	2	4.12070870e-02	1.25393410e-03	2	4.04861660e-02	1.22247380e-03	2	false	smoothSolver	2.23786090e-02	8.81696770e-05	2	true	smoothSolver	7.08238400e-03	8.01495950e-05	2	true	GAMG	4.45947970e-07	5.72533860e-09	4	true
10              	smoothSolver	4.12402080e-02	1.42521390e-03	2	4.82055190e-02	1.54595660e-03	2	4.71733090e-02	1.52220200e-03	2	false	smoothSolver	1.89995670e-02	8.70463740e-05	2	true	smoothSolver	6.76567950e-03	7.80905730e-05	2	true	GAMG	4.64823240e-07	4.53665520e-09	4	true
11              	smoothSolver	4.53429590e-02	1.59542320e-03	2	5.13142280e-02	1.67283100e-03	2	5.03001950e-02	1.66087220e-03	2	false	smoothSolver	1.68765640e-02	8.81876310e-05	2	true	smoothSolver	6.46317770e-03	7.54491170e-05	2	true	GAMG	5.18710320e-07	5.68021580e-09	4	true
12              	smoothSolver	4.28900910e-02	1.51319530e-03	2	4.91299690e-02	1.59194450e-03	2	4.82716070e-02	1.59032550e-03	2	false	smoothSolver	1.56231920e-02	9.11864900e-05	2	true	smoothSolver	6.18677850e-03	7.25811540e-05	2	true	GAMG	6.02396290e-07	6.86306130e-09	4	true
13              	smoothSolver	3.63285890e-02	1.26818620e-03	2	4.39387200e-02	1.38903890e-03	2	4.32675850e-02	1.39103490e-03	2	false	smoothSolver	1.47539310e-02	9.43516230e-05	2	true	smoothSolver	5.90012170e-03	6.96790990e-05	2	true	GAMG	7.03988930e-07	8.79958980e-09	4	true
14              	smoothSolver	3.08932860e-02	1.04111910e-03	2	3.89427920e-02	1.19319540e-03	2	3.85599310e-02	1.20082560e-03	2	false	smoothSolver	1.43175280e-02	9.96702860e-05	2	true	smoothSolver	5.62517710e-03	6.71197420e-05	2	true	GAMG	8.12508940e-07	1.03338330e-08	4	true
15              	smoothSolver	3.00592700e-02	1.00994920e-03	2	3.62430380e-02	1.10084030e-03	2	3.60687190e-02	1.10855360e-03	2	false	smoothSolver	1.41252180e-02	1.05225960e-04	2	true	smoothSolver	5.38897200e-03	6.49880290e-05	2	true	GAMG	9.24381350e-07	1.04210540e-08	4	true
16              	smoothSolver	3.09790600e-02	1.06391150e-03	2	3.51150610e-02	1.08807760e-03	2	3.50375440e-02	1.09225560e-03	2	false	smoothSolver	1.40808660e-02	1.11040290e-04	2	true	smoothSolver	5.19338290e-03	6.32295430e-05	2	true	GAMG	1.00806920e-06	9.02269810e-09	4	true
17              	smoothSolver	3.04993170e-02	1.06367690e-03	2	3.38449520e-02	1.06926580e-03	2	3.38303730e-02	1.07218030e-03	2	false	smoothSolver	1.40480120e-02	1.17140790e-04	2	true	smoothSolver	5.02182200e-03	6.16545770e-05	2	true	GAMG	1.04009960e-06	9.04979450e-09	4	true
