# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               1.86808327e+01 -7.97671012e-01 1.43627157e-01 1.83825043e+01 -8.00709390e-01 1.34328011e-01 2.98328382e-01 3.03837786e-03 9.29914637e-03
20               -8.29454956e+01 -1.17407138e-01 4.39056234e-03 -8.30738939e+01 -1.05582742e-01 -1.02716896e-02 1.28398282e-01 -1.18243958e-02 1.46622520e-02
30               -7.14197216e+01 -4.45638019e-01 3.28982795e-01 -7.15341938e+01 -4.32389625e-01 3.11670912e-01 1.14472162e-01 -1.32483937e-02 1.73118825e-02
40               -6.21983817e+01 -5.10179469e-01 6.37365938e-01 -6.23114624e+01 -4.96396145e-01 6.21841840e-01 1.13080657e-01 -1.37833239e-02 1.55240979e-02
50               -5.16663766e+01 -4.16076720e-01 6.13629562e-01 -5.17956106e+01 -4.01199358e-01 6.04092094e-01 1.29234009e-01 -1.48773622e-02 9.53746755e-03
60               -3.82801449e+01 -1.78866492e-01 4.33368592e-01 -3.84401495e+01 -1.63033464e-01 4.29750966e-01 1.60004517e-01 -1.58330274e-02 3.61762534e-03
70               -2.78728233e+01 4.76096140e-02 2.42649602e-01 -2.80710884e+01 6.72506878e-02 2.40600198e-01 1.98265086e-01 -1.96410738e-02 2.04940489e-03
80               -2.14815274e+01 2.93149203e-01 2.00461460e-01 -2.17159942e+01 3.17136621e-01 1.97700504e-01 2.34466870e-01 -2.39874188e-02 2.76095598e-03
90               -1.81714455e+01 1.74693623e-01 2.32290114e-01 -1.84395844e+01 2.03445899e-01 2.30354530e-01 2.68138888e-01 -2.87522756e-02 1.93558417e-03
100              -1.81930798e+01 -1.92769633e-01 1.34894048e-01 -1.84911333e+01 -1.59088796e-01 1.35714399e-01 2.98053534e-01 -3.36808372e-02 -8.20350485e-04
110              -2.05303047e+01 -9.53165600e-02 -3.34274942e-01 -2.08494973e+01 -5.85677563e-02 -3.31809384e-01 3.19192620e-01 -3.67488037e-02 -2.46555837e-03
120              -2.24550582e+01 5.86287002e-01 -6.91447884e-01 -2.27892539e+01 6.25237646e-01 -6.90665693e-01 3.34195647e-01 -3.89506439e-02 -7.82191322e-04
130              -2.33182721e+01 1.04549549e+00 -7.76618975e-01 -2.36638842e+01 1.08738770e+00 -7.78142381e-01 3.45612021e-01 -4.18922141e-02 1.52340602e-03
140              -2.32239046e+01 6.52744930e-01 -7.72925601e-01 -2.35787828e+01 6.96798989e-01 -7.73871112e-01 3.54878187e-01 -4.40540589e-02 9.45510376e-04
150              -2.28912977e+01 1.45764361e-01 -7.60754847e-01 -2.32518181e+01 1.91901391e-01 -7.62518620e-01 3.60520370e-01 -4.61370305e-02 1.76377260e-03
160              -2.19523859e+01 8.36135464e-02 -8.33020669e-01 -2.23152668e+01 1.31445337e-01 -8.37429610e-01 3.62880927e-01 -4.78317903e-02 4.40894139e-03
170              -2.08167455e+01 2.80884019e-01 -7.91371519e-01 -2.11817450e+01 3.29221021e-01 -7.96367297e-01 3.64999457e-01 -4.83370020e-02 4.99577826e-03
180              -2.03030902e+01 3.77240497e-01 -7.06675697e-01 -2.06728679e+01 4.24137788e-01 -7.09916574e-01 3.69777655e-01 -4.68972915e-02 3.24087703e-03
190              -2.03803547e+01 4.30619976e-01 -5.76173333e-01 -2.07579763e+01 4.72962001e-01 -5.77908487e-01 3.77621568e-01 -4.23420246e-02 1.73515387e-03
