# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -2.42034216e-03 -5.55376073e-04 2.42105720e-03 3.25945688e-03 -4.25458723e-04 2.55929819e-03 -5.67979904e-03 -1.29917350e-04 -1.38240989e-04
20               -1.74820445e-02 -2.08722565e-03 4.84015977e-03 -4.69948899e-03 -1.96835861e-03 4.91277199e-03 -1.27825555e-02 -1.18867045e-04 -7.26122185e-05
30               -4.06663527e-02 -6.13132487e-03 4.96972357e-03 -1.99132180e-02 -6.08798538e-03 5.07640177e-03 -2.07531347e-02 -4.33394888e-05 -1.06678199e-04
40               -4.95747871e-02 -8.31056908e-03 7.43835640e-03 -1.91337744e-02 -8.28973690e-03 7.50543895e-03 -3.04410127e-02 -2.08321746e-05 -6.70825554e-05
50               -5.34467575e-02 -2.34454504e-03 2.09770058e-02 -1.30000827e-02 -2.32895290e-03 2.09417019e-02 -4.04466748e-02 -1.55921385e-05 3.53038256e-05
60               -6.30524357e-02 -2.17723214e-03 2.72470869e-02 -1.27999853e-02 -2.20217722e-03 2.73201317e-02 -5.02524504e-02 2.49450776e-05 -7.30448589e-05
70               -8.99503391e-02 6.34088193e-03 2.17211923e-02 -2.98553095e-02 6.10446751e-03 2.18123800e-02 -6.00950297e-02 2.36414421e-04 -9.11876899e-05
80               -1.33032785e-01 1.99794337e-02 7.82257253e-03 -6.31034914e-02 1.96258913e-02 7.85177924e-03 -6.99292941e-02 3.53542382e-04 -2.92067129e-05
90               -1.74516464e-01 1.83447281e-02 -2.50393476e-03 -9.46614645e-02 1.80885849e-02 -2.55841871e-03 -7.98549996e-02 2.56143250e-04 5.44839503e-05
100              -2.03650616e-01 1.61434553e-02 1.10482156e-02 -1.14391703e-01 1.60183663e-02 1.08461694e-02 -8.92589125e-02 1.25089011e-04 2.02046203e-04
110              -2.13982765e-01 3.29699335e-03 2.82100806e-02 -1.16130727e-01 3.22182835e-03 2.77514921e-02 -9.78520381e-02 7.51650003e-05 4.58588486e-04
120              -2.22823077e-01 3.37535356e-03 3.68540674e-02 -1.16729850e-01 3.24771964e-03 3.61903069e-02 -1.06093227e-01 1.27633927e-04 6.63760437e-04
130              -2.20344929e-01 8.80803426e-03 4.80745691e-02 -1.05092616e-01 8.56633851e-03 4.71809374e-02 -1.15252313e-01 2.41695752e-04 8.93631670e-04
140              -2.17844731e-01 7.35339539e-03 6.20121075e-02 -9.29806054e-02 6.98003751e-03 6.08769223e-02 -1.24864126e-01 3.73357873e-04 1.13518518e-03
150              -2.25896023e-01 -1.24409403e-02 6.48116400e-02 -9.13103245e-02 -1.31890561e-02 6.35653897e-02 -1.34585699e-01 7.48115869e-04 1.24625028e-03
160              -2.34221943e-01 -3.51967366e-02 5.75167812e-02 -8.92474672e-02 -3.66227125e-02 5.62719599e-02 -1.44974476e-01 1.42597593e-03 1.24482132e-03
170              -2.43711816e-01 -3.44565568e-02 5.32415746e-02 -8.76816573e-02 -3.65925933e-02 5.19961802e-02 -1.56030158e-01 2.13603644e-03 1.24539445e-03
