# Region type : patch stator
# Faces         : 216032
# Area          : 5.75144342e-02
# Scale factor  : 1.00000000e+00
# Time          	min(p)
10              	-4.68753030e+01
20              	-4.57312379e+01
30              	-4.62858662e+01
40              	-5.20785349e+01
50              	-5.67480037e+01
60              	-6.06772403e+01
70              	-6.33173005e+01
80              	-6.24278934e+01
90              	-5.92851871e+01
100             	-6.21042284e+01
110             	-6.81425060e+01
120             	-7.04919444e+01
130             	-7.03953780e+01
140             	-6.59233006e+01
150             	-6.19590157e+01
160             	-6.58416096e+01
170             	-6.63501199e+01
180             	-6.84844965e+01
190             	-6.56006753e+01
200             	-5.97534563e+01
210             	-5.23864037e+01
220             	-4.99550867e+01
230             	-4.92288878e+01
240             	-5.04419677e+01
250             	-5.15023785e+01
260             	-6.26610963e+01
270             	-8.29551610e+01
280             	-8.07320140e+01
290             	-8.42544601e+01
300             	-7.40129663e+01
310             	-7.61014119e+01
320             	-7.95494376e+01
330             	-8.76780160e+01
340             	-8.50805200e+01
350             	-7.39976736e+01
360             	-7.44939449e+01
370             	-8.37723237e+01
380             	-9.56022828e+01
390             	-8.96088056e+01
400             	-9.18460070e+01
410             	-7.82989401e+01
420             	-6.90651262e+01
430             	-6.07881056e+01
440             	-7.00784424e+01
450             	-7.84952166e+01
460             	-8.85084846e+01
470             	-9.60179751e+01
480             	-1.09496840e+02
490             	-1.16419710e+02
500             	-1.04591211e+02
510             	-8.60047816e+01
520             	-7.26506303e+01
530             	-6.48871419e+01
540             	-7.20202797e+01
550             	-7.20433629e+01
560             	-7.43719007e+01
570             	-7.60736430e+01
580             	-7.78479374e+01
590             	-7.80072091e+01
600             	-7.42036541e+01
610             	-7.39139211e+01
620             	-7.28601222e+01
630             	-6.83669613e+01
640             	-7.01827232e+01
650             	-7.50689413e+01
660             	-7.42003446e+01
670             	-7.12964900e+01
680             	-7.04597346e+01
690             	-7.33291388e+01
700             	-7.18236651e+01
710             	-7.83463998e+01
720             	-9.51416073e+01
730             	-1.06972652e+02
740             	-9.75529542e+01
750             	-9.81383219e+01
760             	-9.26035101e+01
770             	-8.29714188e+01
780             	-8.69792034e+01
790             	-9.04820213e+01
800             	-9.25309205e+01
810             	-9.52309539e+01
820             	-9.67277788e+01
830             	-9.99273075e+01
840             	-1.04143864e+02
850             	-1.07413550e+02
860             	-1.11764993e+02
870             	-1.17417677e+02
880             	-1.18954369e+02
890             	-1.12773185e+02
900             	-1.03261857e+02
910             	-9.33320364e+01
920             	-8.73767624e+01
930             	-8.63481235e+01
940             	-8.57176390e+01
950             	-8.34065718e+01
960             	-8.13275706e+01
970             	-7.97453532e+01
980             	-7.88922849e+01
990             	-7.99419471e+01
1000            	-8.21923619e+01
1010            	-9.92583915e+01
1020            	-1.02757198e+02
1030            	-8.73459913e+01
1040            	-8.84101522e+01
1050            	-9.35108816e+01
1060            	-9.94270052e+01
1070            	-1.00082809e+02
1080            	-9.96594462e+01
1090            	-1.00216878e+02
1100            	-1.01956082e+02
1110            	-1.09928452e+02
1120            	-1.07270318e+02
1130            	-1.03441646e+02
1140            	-9.98300029e+01
1150            	-9.60320730e+01
1160            	-9.53143663e+01
1170            	-9.64168255e+01
1180            	-9.41342858e+01
1190            	-8.95092695e+01
1200            	-8.39026624e+01
1210            	-7.97976548e+01
1220            	-8.41517060e+01
1230            	-9.81882929e+01
1240            	-9.87455876e+01
1250            	-9.04163164e+01
1260            	-8.49872849e+01
1270            	-1.00342511e+02
1280            	-9.37701087e+01
1290            	-7.44124458e+01
1300            	-8.36046086e+01
1310            	-9.36474474e+01
1320            	-9.81351504e+01
1330            	-1.10715280e+02
1340            	-1.12934020e+02
1350            	-1.02847545e+02
1360            	-1.00554718e+02
1370            	-1.00527240e+02
1380            	-9.50510955e+01
1390            	-9.33456704e+01
1400            	-9.70469952e+01
1410            	-9.55257748e+01
1420            	-8.48381831e+01
1430            	-8.52444241e+01
1440            	-8.48602510e+01
1450            	-9.47556246e+01
1460            	-8.64276188e+01
1470            	-8.68833562e+01
1480            	-9.73462323e+01
1490            	-1.10740327e+02
1500            	-1.17923429e+02
1510            	-1.13282255e+02
1520            	-1.00325367e+02
1530            	-9.55468124e+01
1540            	-9.15700635e+01
1550            	-8.86865098e+01
1560            	-8.77405652e+01
1570            	-8.91797263e+01
1580            	-8.92611307e+01
1590            	-8.76740174e+01
1600            	-9.07172652e+01
1610            	-9.08526997e+01
1620            	-9.01850764e+01
1630            	-9.31352517e+01
1640            	-9.56513564e+01
1650            	-9.32534217e+01
1660            	-8.94664717e+01
1670            	-8.79377941e+01
1680            	-9.97500990e+01
1690            	-1.19563502e+02
1700            	-1.10929631e+02
1710            	-9.40890943e+01
1720            	-9.17257270e+01
1730            	-1.00787746e+02
1740            	-1.09097210e+02
1750            	-1.13839637e+02
1760            	-1.14391089e+02
1770            	-1.08125873e+02
1780            	-1.01254601e+02
1790            	-9.73288331e+01
1800            	-9.50899226e+01
1810            	-9.02616382e+01
1820            	-8.51905755e+01
1830            	-8.13917397e+01
1840            	-7.86622798e+01
1850            	-9.01353294e+01
1860            	-8.05175337e+01
1870            	-7.46859774e+01
1880            	-8.01090956e+01
1890            	-8.09332059e+01
1900            	-9.39951775e+01
1910            	-1.01679001e+02
1920            	-9.74067500e+01
1930            	-9.57324167e+01
1940            	-9.16976397e+01
1950            	-8.23032808e+01
1960            	-7.79854931e+01
1970            	-8.14268166e+01
1980            	-8.13255111e+01
1990            	-8.01899526e+01
2000            	-8.08114368e+01
2010            	-8.40179554e+01
2020            	-8.89440229e+01
2030            	-9.67016390e+01
2040            	-1.01057616e+02
2050            	-9.75629368e+01
2060            	-9.02419331e+01
2070            	-8.44641797e+01
2080            	-8.92114082e+01
2090            	-8.36489358e+01
2100            	-8.15075139e+01
2110            	-7.43381817e+01
2120            	-7.93165508e+01
2130            	-7.96770767e+01
2140            	-8.55025033e+01
2150            	-8.88337026e+01
2160            	-9.07694699e+01
2170            	-9.14375627e+01
2180            	-9.63865170e+01
2190            	-9.51919362e+01
2200            	-9.12257728e+01
2210            	-9.43550150e+01
2220            	-9.49410875e+01
2230            	-8.61866068e+01
2240            	-8.82536518e+01
2250            	-9.26643607e+01
2260            	-9.95466429e+01
2270            	-1.01429251e+02
2280            	-9.52255168e+01
2290            	-9.33027582e+01
2300            	-9.41116005e+01
2310            	-9.69143243e+01
2320            	-9.75631328e+01
2330            	-9.10637410e+01
2340            	-8.83487846e+01
2350            	-8.71273180e+01
2360            	-8.91570090e+01
2370            	-9.12405801e+01
2380            	-9.04055561e+01
2390            	-8.81107371e+01
2400            	-8.97159901e+01
2410            	-9.28023872e+01
2420            	-9.41889911e+01
2430            	-9.24464491e+01
2440            	-8.61059651e+01
2450            	-8.25622732e+01
2460            	-7.95563854e+01
2470            	-7.95288017e+01
2480            	-8.46201654e+01
2490            	-9.00200845e+01
2500            	-9.82680812e+01
2510            	-1.05520947e+02
2520            	-1.01004948e+02
