# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -7.97578590e-01 6.79736925e-02 -1.06271326e-02 -8.48417023e-01 6.80880487e-02 -1.06697398e-02 5.08384330e-02 -1.14356174e-04 4.26072712e-05
20               1.04448591e+00 -4.48023997e-03 3.56774713e-03 9.98078540e-01 -4.46965673e-03 3.47741434e-03 4.64073692e-02 -1.05832456e-05 9.03327865e-05
30               8.10892258e-01 4.57837051e-03 6.06901550e-03 7.65699508e-01 4.66525542e-03 5.95857593e-03 4.51927496e-02 -8.68849048e-05 1.10439568e-04
40               7.60277478e-01 4.63819949e-03 4.25590808e-03 7.14399607e-01 4.73856766e-03 4.11876912e-03 4.58778710e-02 -1.00368169e-04 1.37138957e-04
50               7.19525935e-01 -4.12432625e-05 7.02774537e-03 6.71867184e-01 3.07410842e-05 6.83002987e-03 4.76587506e-02 -7.19843467e-05 1.97715501e-04
60               6.51592354e-01 -2.91446625e-03 6.94387957e-03 6.01670682e-01 -2.90218665e-03 6.65493888e-03 4.99216727e-02 -1.22795989e-05 2.88940687e-04
70               6.06665769e-01 4.53996426e-03 5.58847750e-04 5.54485601e-01 4.51098105e-03 2.58245877e-04 5.21801681e-02 2.89832136e-05 3.00601872e-04
80               5.75300011e-01 9.87966726e-03 8.81289312e-03 5.21276702e-01 9.79213091e-03 8.54342583e-03 5.40233088e-02 8.75363504e-05 2.69467288e-04
90               5.33238369e-01 1.13538321e-02 1.84740951e-02 4.77811489e-01 1.12167539e-02 1.82547502e-02 5.54268804e-02 1.37078219e-04 2.19344869e-04
100              4.92462906e-01 1.27890486e-02 2.23106158e-02 4.36328611e-01 1.25842039e-02 2.20996108e-02 5.61342948e-02 2.04844717e-04 2.11005077e-04
110              4.70831379e-01 1.28628075e-02 1.24621840e-02 4.14754078e-01 1.26140119e-02 1.22606851e-02 5.60773013e-02 2.48795545e-04 2.01498917e-04
120              4.50479000e-01 3.11149054e-03 -5.00001169e-03 3.94696804e-01 2.82303201e-03 -5.19675066e-03 5.57821960e-02 2.88458530e-04 1.96738970e-04
130              4.42170125e-01 -1.32995229e-02 4.26616287e-03 3.86606642e-01 -1.36316898e-02 4.06410177e-03 5.55634831e-02 3.32166881e-04 2.02061099e-04
140              4.42809232e-01 -1.81014298e-02 1.26642425e-02 3.87391533e-01 -1.84823067e-02 1.24366037e-02 5.54176987e-02 3.80876857e-04 2.27638805e-04
150              4.54183141e-01 -1.85154111e-02 6.28201780e-03 3.98784174e-01 -1.89310231e-02 6.05650289e-03 5.53989675e-02 4.15611994e-04 2.25514913e-04
160              4.63139713e-01 -2.04931862e-02 7.42000748e-03 4.07634278e-01 -2.09276754e-02 7.22844287e-03 5.55054347e-02 4.34489272e-04 1.91564615e-04
170              4.76135194e-01 -1.15042927e-02 1.55854380e-02 4.20445544e-01 -1.19313682e-02 1.54187935e-02 5.56896506e-02 4.27075436e-04 1.66644492e-04
180              4.87893240e-01 -2.67561554e-03 1.58390969e-02 4.31840929e-01 -3.11582555e-03 1.57026883e-02 5.60523114e-02 4.40210011e-04 1.36408585e-04
190              4.99156102e-01 1.32182114e-03 1.24207487e-02 4.42508750e-01 8.50705427e-04 1.23097710e-02 5.66473527e-02 4.71115716e-04 1.10977655e-04
200              5.08226851e-01 5.61269402e-04 7.18464448e-03 4.50847371e-01 6.78614190e-05 7.07090777e-03 5.73794798e-02 4.93407983e-04 1.13736711e-04
210              5.08258324e-01 -2.43570952e-04 -1.44997282e-02 4.50105804e-01 -7.29822471e-04 -1.46209580e-02 5.81525204e-02 4.86251520e-04 1.21229763e-04
220              5.01537578e-01 -6.27631415e-03 -4.49151837e-02 4.42732624e-01 -6.72840050e-03 -4.49835288e-02 5.88049538e-02 4.52086348e-04 6.83451008e-05
230              4.93751130e-01 -2.51496400e-02 -6.09375646e-02 4.34531320e-01 -2.55521665e-02 -6.09245348e-02 5.92198101e-02 4.02526557e-04 -1.30298089e-05
240              4.93835450e-01 -4.85621376e-02 -7.33061763e-02 4.34470178e-01 -4.88821437e-02 -7.32786458e-02 5.93652727e-02 3.20006123e-04 -2.75305093e-05
250              5.01683662e-01 -7.12606300e-02 -8.93048515e-02 4.42268263e-01 -7.14491053e-02 -8.93451196e-02 5.94153987e-02 1.88475281e-04 4.02681095e-05
260              5.07396225e-01 -9.41901114e-02 -1.11669155e-01 4.47993503e-01 -9.42617574e-02 -1.11792140e-01 5.94027219e-02 7.16459469e-05 1.22984865e-04
270              5.01117509e-01 -1.21506372e-01 -1.34267726e-01 4.41985376e-01 -1.21468268e-01 -1.34489111e-01 5.91321333e-02 -3.81035815e-05 2.21385483e-04
280              4.88052591e-01 -1.45381105e-01 -1.33843273e-01 4.29477943e-01 -1.45280500e-01 -1.34072390e-01 5.85746479e-02 -1.00605050e-04 2.29117049e-04
290              4.80917905e-01 -1.45386308e-01 -1.19641634e-01 4.23036674e-01 -1.45301042e-01 -1.19881522e-01 5.78812312e-02 -8.52659320e-05 2.39888116e-04
300              4.88905852e-01 -1.32007522e-01 -1.26799295e-01 4.31845416e-01 -1.31901694e-01 -1.27083583e-01 5.70604360e-02 -1.05828807e-04 2.84287836e-04
310              4.98787253e-01 -1.04813474e-01 -1.53126111e-01 4.42572592e-01 -1.04584962e-01 -1.53353114e-01 5.62146607e-02 -2.28511667e-04 2.27002773e-04
320              5.03798186e-01 -8.29424354e-02 -2.00718807e-01 4.48249504e-01 -8.26215368e-02 -2.00858225e-01 5.55486823e-02 -3.20898679e-04 1.39417128e-04
330              5.00644084e-01 -7.84803691e-02 -2.33292112e-01 4.45665767e-01 -7.81405315e-02 -2.33411467e-01 5.49783174e-02 -3.39837648e-04 1.19355666e-04
340              4.92168532e-01 -8.67144076e-02 -2.31059872e-01 4.37844634e-01 -8.63940336e-02 -2.31214425e-01 5.43238983e-02 -3.20374018e-04 1.54552443e-04
350              4.78882293e-01 -1.08253785e-01 -2.40867850e-01 4.25099777e-01 -1.07952620e-01 -2.41082554e-01 5.37825167e-02 -3.01165539e-04 2.14704334e-04
