# Region type : patch rotor
# Faces         : 156624
# Area          : 1.09891587e-02
# Scale factor  : 1.00000000e+00
# Time          	min(p)
10              	-3.33370746e+02
20              	-3.12934476e+02
30              	-2.83678384e+02
40              	-2.47240572e+02
50              	-2.44912327e+02
60              	-2.44445375e+02
70              	-2.35262570e+02
80              	-2.28327776e+02
90              	-2.24373059e+02
100             	-2.26646940e+02
110             	-2.30554826e+02
120             	-2.37296808e+02
130             	-2.39929793e+02
140             	-1.97654052e+02
150             	-1.88355548e+02
160             	-1.91640379e+02
170             	-1.88940468e+02
180             	-1.85560033e+02
190             	-1.91175514e+02
200             	-1.97887620e+02
210             	-2.05189612e+02
220             	-2.07989438e+02
230             	-2.07153126e+02
240             	-2.04593273e+02
250             	-2.01825527e+02
260             	-2.01353093e+02
270             	-2.00340023e+02
280             	-1.94675181e+02
290             	-1.83426209e+02
300             	-1.79630940e+02
310             	-1.80599648e+02
320             	-1.76931891e+02
330             	-1.71371168e+02
340             	-1.74047648e+02
350             	-1.68944466e+02
360             	-1.67838551e+02
370             	-1.67221211e+02
380             	-1.65820510e+02
390             	-1.67154239e+02
400             	-1.66757003e+02
410             	-1.65489045e+02
420             	-1.63890666e+02
430             	-1.64494925e+02
440             	-1.67749191e+02
450             	-1.72830212e+02
460             	-1.78589772e+02
470             	-1.83899195e+02
480             	-1.86346167e+02
490             	-1.86621810e+02
500             	-1.85005841e+02
510             	-1.80490602e+02
520             	-1.73902669e+02
530             	-1.67489118e+02
540             	-1.62649509e+02
550             	-1.60273419e+02
560             	-1.60823938e+02
570             	-1.61706861e+02
580             	-1.60530864e+02
590             	-1.59273531e+02
600             	-1.60071260e+02
610             	-1.63435378e+02
620             	-1.68037782e+02
630             	-1.71911620e+02
640             	-1.74711031e+02
650             	-1.78771016e+02
660             	-1.85148779e+02
670             	-1.90744961e+02
680             	-1.92850413e+02
690             	-1.90811341e+02
700             	-1.84202394e+02
710             	-1.76105257e+02
720             	-1.70842770e+02
730             	-1.68945497e+02
740             	-1.70922824e+02
750             	-1.75574501e+02
760             	-1.79150658e+02
770             	-1.80753345e+02
780             	-1.82160456e+02
790             	-1.84074941e+02
800             	-1.85064809e+02
810             	-1.82287600e+02
820             	-1.76874703e+02
830             	-1.73277044e+02
840             	-1.72935053e+02
850             	-1.75992521e+02
860             	-1.79179121e+02
870             	-1.81521680e+02
880             	-1.83280041e+02
890             	-1.83806160e+02
900             	-1.82291773e+02
910             	-1.79280013e+02
920             	-1.73863796e+02
930             	-1.68925423e+02
940             	-1.67048183e+02
950             	-1.64965661e+02
960             	-1.63376477e+02
970             	-1.62816663e+02
980             	-1.60549845e+02
990             	-1.58696680e+02
1000            	-1.58475590e+02
1010            	-1.61383379e+02
1020            	-1.66933337e+02
1030            	-1.70359456e+02
1040            	-1.66051681e+02
1050            	-1.58393965e+02
1060            	-1.58368226e+02
1070            	-1.64594327e+02
1080            	-1.70851211e+02
1090            	-1.75477772e+02
1100            	-1.76536994e+02
1110            	-1.74637218e+02
1120            	-1.71586611e+02
1130            	-1.70629149e+02
1140            	-1.73072069e+02
1150            	-1.76492643e+02
1160            	-1.80550982e+02
1170            	-1.85625060e+02
1180            	-1.90358566e+02
1190            	-1.93720652e+02
1200            	-1.94509258e+02
1210            	-1.92632895e+02
1220            	-1.88798791e+02
1230            	-1.86301492e+02
1240            	-1.87364437e+02
1250            	-1.90034642e+02
1260            	-1.93521427e+02
1270            	-1.95423840e+02
1280            	-1.91401223e+02
1290            	-1.81282503e+02
1300            	-1.71683030e+02
1310            	-1.68169271e+02
1320            	-1.69954234e+02
1330            	-1.74148979e+02
1340            	-1.77705884e+02
1350            	-1.78163055e+02
1360            	-1.73480349e+02
1370            	-1.64619742e+02
1380            	-1.57756871e+02
1390            	-1.55644455e+02
1400            	-1.59415730e+02
1410            	-1.64416985e+02
1420            	-1.67487353e+02
1430            	-1.65746049e+02
1440            	-1.64092870e+02
1450            	-1.65164315e+02
1460            	-1.71146182e+02
1470            	-1.78655523e+02
1480            	-1.83023579e+02
1490            	-1.84849599e+02
1500            	-1.84094124e+02
1510            	-1.82239959e+02
1520            	-1.80597663e+02
1530            	-1.80520546e+02
1540            	-1.81619786e+02
1550            	-1.82638634e+02
1560            	-1.82278690e+02
1570            	-2.05870088e+02
1580            	-2.21248956e+02
1590            	-1.80105076e+02
1600            	-1.66474604e+02
1610            	-1.47965966e+02
1620            	-1.52353153e+02
1630            	-1.59354009e+02
1640            	-1.65586743e+02
1650            	-1.67664975e+02
1660            	-1.66330843e+02
1670            	-1.63926659e+02
1680            	-1.63054301e+02
1690            	-1.64596597e+02
1700            	-1.65998108e+02
1710            	-1.65541253e+02
1720            	-1.63355703e+02
1730            	-1.59538505e+02
1740            	-1.54290985e+02
1750            	-1.51178751e+02
1760            	-1.51309547e+02
1770            	-1.51997115e+02
1780            	-1.54711343e+02
1790            	-1.59459347e+02
1800            	-1.67160674e+02
1810            	-1.74908678e+02
1820            	-1.80312063e+02
1830            	-1.83190838e+02
1840            	-1.82670236e+02
1850            	-1.78674473e+02
1860            	-1.75009882e+02
1870            	-1.74568003e+02
1880            	-1.75738880e+02
1890            	-1.77572332e+02
1900            	-1.79966424e+02
1910            	-1.82490617e+02
1920            	-1.83853853e+02
1930            	-1.84878222e+02
1940            	-1.84945541e+02
1950            	-1.84185992e+02
1960            	-1.83731863e+02
1970            	-1.84825403e+02
1980            	-1.86069551e+02
1990            	-1.85175058e+02
2000            	-1.80760739e+02
2010            	-1.74327448e+02
2020            	-1.68650546e+02
2030            	-1.66532073e+02
2040            	-1.65479250e+02
2050            	-1.64046764e+02
2060            	-1.62275026e+02
2070            	-1.63222589e+02
2080            	-1.67862859e+02
2090            	-1.74994930e+02
2100            	-1.80203466e+02
2110            	-1.79000747e+02
2120            	-1.73311736e+02
2130            	-1.66864380e+02
2140            	-1.63900876e+02
2150            	-1.66258905e+02
2160            	-1.72009166e+02
2170            	-1.77115843e+02
2180            	-1.80584677e+02
2190            	-1.81192245e+02
2200            	-1.80184462e+02
2210            	-1.79591068e+02
2220            	-1.80086472e+02
2230            	-1.82051811e+02
2240            	-1.83984751e+02
2250            	-1.84326696e+02
2260            	-1.84284035e+02
2270            	-1.84314161e+02
2280            	-1.84651364e+02
2290            	-1.84828227e+02
2300            	-1.84959721e+02
2310            	-1.86210223e+02
2320            	-1.87431439e+02
2330            	-1.87980874e+02
2340            	-1.88011548e+02
2350            	-1.86071213e+02
2360            	-1.80468235e+02
2370            	-1.71653642e+02
2380            	-1.61455208e+02
2390            	-1.54173351e+02
2400            	-1.54587767e+02
2410            	-1.57642600e+02
2420            	-1.59864722e+02
2430            	-1.59348048e+02
2440            	-1.54557356e+02
2450            	-1.49167210e+02
2460            	-1.49601422e+02
2470            	-1.55497812e+02
2480            	-1.63591789e+02
2490            	-1.71074058e+02
2500            	-1.77849257e+02
2510            	-1.78335939e+02
2520            	-1.74311412e+02
2530            	-1.71041545e+02
2540            	-1.71327555e+02
2550            	-1.75163180e+02
2560            	-1.81463146e+02
2570            	-1.86897433e+02
2580            	-1.88667919e+02
2590            	-1.87408698e+02
2600            	-1.85305276e+02
2610            	-1.84242173e+02
2620            	-1.85355182e+02
2630            	-1.86660823e+02
2640            	-1.84835273e+02
2650            	-1.81403695e+02
2660            	-1.75007711e+02
2670            	-1.68328110e+02
2680            	-1.64731973e+02
2690            	-1.64573490e+02
2700            	-1.67261961e+02
2710            	-1.71523679e+02
2720            	-1.74950894e+02
2730            	-1.76868834e+02
2740            	-1.78411632e+02
2750            	-1.79716617e+02
2760            	-1.79612207e+02
2770            	-1.78487703e+02
2780            	-1.76865179e+02
2790            	-1.75504212e+02
2800            	-1.75355701e+02
2810            	-1.75703571e+02
2820            	-1.75139398e+02
2830            	-1.73990455e+02
2840            	-1.72721505e+02
2850            	-1.72719107e+02
2860            	-1.73961265e+02
2870            	-1.75651968e+02
2880            	-1.76187065e+02
2890            	-1.76917277e+02
2900            	-1.78154315e+02
2910            	-1.79486985e+02
2920            	-1.80030794e+02
2930            	-1.76492211e+02
2940            	-1.69193577e+02
2950            	-1.63500782e+02
2960            	-1.61432630e+02
2970            	-1.62278927e+02
2980            	-1.66172491e+02
2990            	-1.71305452e+02
3000            	-1.76367594e+02
3010            	-1.80406464e+02
3020            	-1.82576395e+02
3030            	-1.83543592e+02
3040            	-1.84268526e+02
3050            	-1.84347444e+02
3060            	-1.82735776e+02
3070            	-1.81188402e+02
3080            	-1.82265727e+02
3090            	-1.86556756e+02
3100            	-1.91859593e+02
3110            	-1.96643190e+02
3120            	-1.99734845e+02
3130            	-2.00789812e+02
3140            	-1.99760069e+02
3150            	-1.94208636e+02
3160            	-1.84838917e+02
3170            	-1.76264839e+02
3180            	-1.70554833e+02
3190            	-1.67398650e+02
3200            	-1.65672980e+02
3210            	-1.63622403e+02
3220            	-1.61326159e+02
3230            	-1.58806055e+02
3240            	-1.58195267e+02
3250            	-1.58666727e+02
3260            	-1.61925476e+02
3270            	-1.67092387e+02
3280            	-1.72142399e+02
3290            	-1.74941266e+02
3300            	-1.76321215e+02
3310            	-1.77596897e+02
3320            	-1.78415832e+02
3330            	-1.79878036e+02
3340            	-1.82469753e+02
3350            	-1.83191556e+02
3360            	-1.81406016e+02
3370            	-1.78686834e+02
3380            	-1.79104341e+02
3390            	-1.79399634e+02
3400            	-1.79666814e+02
3410            	-1.82093839e+02
3420            	-1.82561694e+02
