# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               2.31439072e+00 1.85459588e+00 1.18450689e-01 2.29778236e+00 1.85191742e+00 1.21198692e-01 1.66083607e-02 2.67845770e-03 -2.74800312e-03
20               1.72170881e+00 -4.52989533e-01 3.31089048e-01 1.69675075e+00 -4.52728315e-01 3.34586926e-01 2.49580658e-02 -2.61218728e-04 -3.49787857e-03
30               7.30882404e-01 7.28552403e-01 3.03502064e-01 7.05401438e-01 7.33682727e-01 3.06222693e-01 2.54809654e-02 -5.13032383e-03 -2.72062919e-03
40               -5.19552886e-01 7.88122815e-01 -2.90349318e-01 -5.45070169e-01 7.84079391e-01 -3.03749733e-01 2.55172831e-02 4.04342397e-03 1.34004151e-02
50               -2.29559191e+00 7.66091238e-01 -8.92503040e-01 -2.32465649e+00 7.54302036e-01 -9.34615301e-01 2.90645831e-02 1.17892024e-02 4.21122614e-02
60               -4.42019774e+00 8.14486465e-01 -7.64825124e-01 -4.44900797e+00 7.97723795e-01 -8.36536281e-01 2.88102324e-02 1.67626701e-02 7.17111568e-02
70               -5.52788781e+00 1.72491665e-01 -6.42644555e-01 -5.54809860e+00 1.41931474e-01 -7.37396029e-01 2.02107921e-02 3.05601912e-02 9.47514739e-02
80               -5.62715770e+00 -2.23344100e-01 -4.44343430e-01 -5.64021344e+00 -2.70871917e-01 -5.52884598e-01 1.30557444e-02 4.75278161e-02 1.08541169e-01
90               -5.42439928e+00 -7.17791112e-01 -2.04166393e-02 -5.43583846e+00 -7.74408592e-01 -1.30965584e-01 1.14391854e-02 5.66174801e-02 1.10548944e-01
100              -5.14175426e+00 -1.05856923e+00 -1.66199132e-01 -5.15457879e+00 -1.11854866e+00 -2.75070708e-01 1.28245277e-02 5.99794324e-02 1.08871577e-01
110              -4.89488508e+00 -1.60166863e+00 -8.65612594e-02 -4.91144522e+00 -1.66858219e+00 -1.94684052e-01 1.65601403e-02 6.69135511e-02 1.08122793e-01
120              -5.14957167e+00 -2.39831404e+00 -1.21171789e-01 -5.17297694e+00 -2.47105176e+00 -2.33788173e-01 2.34052664e-02 7.27377273e-02 1.12616384e-01
130              -5.39296071e+00 -3.10423916e+00 -5.89972349e-01 -5.41880822e+00 -3.18151268e+00 -7.14126589e-01 2.58475098e-02 7.72735232e-02 1.24154240e-01
