# y+ ()         
# Time          	patch           	min             	max             	average         
500             	rotor	1.14180895e+00	1.54539462e+02	3.01087783e+01
500             	stator	6.95360362e-02	3.66483078e+02	4.05800264e+01
1000            	rotor	1.54568286e+00	1.94771493e+02	3.08161928e+01
1000            	stator	8.96526359e-02	3.89074514e+02	4.35430666e+01
1500            	rotor	1.27313128e+00	1.57999316e+02	3.08696077e+01
1500            	stator	1.74996214e-01	3.66068775e+02	4.42418305e+01
2000            	rotor	1.20593434e+00	1.61310712e+02	3.06724595e+01
2000            	stator	1.24626844e-01	3.79944146e+02	4.47059189e+01
2500            	rotor	1.29725109e+00	1.62686597e+02	3.06179279e+01
2500            	stator	1.36607522e-01	3.60663423e+02	4.50755245e+01
3000            	rotor	1.30963930e+00	1.55770365e+02	3.06223419e+01
3000            	stator	1.40807608e-01	3.65312552e+02	4.45127627e+01
3500            	rotor	1.72450519e+00	1.99525011e+02	3.06526798e+01
3500            	stator	1.39494298e-01	3.77997969e+02	4.40576238e+01
4000            	rotor	1.46729212e+00	1.59770971e+02	3.07385824e+01
4000            	stator	7.32775981e-02	3.71029029e+02	4.42359840e+01
4467            	rotor	1.15628370e+00	1.58743535e+02	3.04280961e+01
4467            	stator	8.64426092e-02	3.71669873e+02	4.38254493e+01
