case,outer_z_mm,throat_id_mm,loading_scale
1B-01,8.5,102,0.92
1B-02,8.5,102,1.0
1B-03,8.5,102,1.08
1B-04,8.5,104,0.92
1B-05,8.5,104,1.0
1B-06,8.5,104,1.08
1B-07,8.5,106,0.92
1B-08,8.5,106,1.0
1B-09,8.5,106,1.08
1B-10,11.5,102,0.92
1B-11,11.5,102,1.0
1B-12,11.5,102,1.08
1B-13,11.5,104,0.92
1B-14,11.5,104,1.0
1B-15,11.5,104,1.08
1B-16,11.5,106,0.92
1B-17,11.5,106,1.0
1B-18,11.5,106,1.08
1B-19,14.5,102,0.92
1B-20,14.5,102,1.0
1B-21,14.5,102,1.08
1B-22,14.5,104,0.92
1B-23,14.5,104,1.0
1B-24,14.5,104,1.08
1B-25,14.5,106,0.92
1B-26,14.5,106,1.0
1B-27,14.5,106,1.08
