station,s_mm,u,x_mm,y_mm,z_mm,r_mm,theta_deg,pitch_angle_deg,P_over_D,chord_mm,section_thickness_mm,t_c
0,0,0,4,12,-6,12.649,71.565,43.34,0.75,11.5,4.466,0.375
1,0.97248,0.0069898,4.9714,11.997,-5.9546,12.986,67.492,42.588,0.75,11.506,4.4662,0.37484
2,1.945,0.013982,5.9427,11.988,-5.9064,13.38,63.632,41.736,0.75,11.522,4.4668,0.37434
3,2.9174,0.020979,6.9137,11.974,-5.8553,13.827,59.998,40.804,0.75,11.55,4.4678,0.37352
4,3.8899,0.027984,7.8845,11.954,-5.8012,14.32,56.592,39.814,0.75,11.589,4.4691,0.37238
5,4.8624,0.035001,8.8549,11.928,-5.7443,14.855,53.41,38.783,0.75,11.639,4.4706,0.37093
6,5.8349,0.042033,9.825,11.896,-5.6844,15.428,50.445,37.728,0.75,11.699,4.4723,0.36917
7,6.8074,0.049082,10.795,11.858,-5.6216,16.035,47.686,36.664,0.75,11.769,4.4739,0.36711
8,7.7799,0.056152,11.764,11.814,-5.5559,16.672,45.121,35.601,0.75,11.848,4.4754,0.36477
9,8.7523,0.063247,12.733,11.764,-5.4872,17.335,42.735,34.55,0.75,11.937,4.4767,0.36215
10,9.7248,0.07037,13.701,11.708,-5.4154,18.022,40.515,33.518,0.75,12.012,4.4483,0.35753
11,10.697,0.077524,14.669,11.646,-5.3406,18.729,38.447,32.51,0.75,11.465,3.6556,0.30545
12,11.67,0.084713,15.636,11.578,-5.2628,19.455,36.519,31.531,0.75,11.08,3.1055,0.2664
13,12.642,0.091942,16.602,11.503,-5.1818,20.197,34.717,30.583,0.75,10.877,2.7772,0.24119
14,13.615,0.099214,17.567,11.422,-5.0976,20.954,33.031,29.669,0.75,10.872,2.6591,0.2304
15,14.587,0.10653,18.532,11.334,-5.0102,21.723,31.45,28.788,0.75,10.987,2.6567,0.22777
16,15.56,0.1139,19.495,11.24,-4.9194,22.503,29.965,27.943,0.75,11.106,2.654,0.22508
17,16.532,0.12133,20.458,11.139,-4.8254,23.294,28.567,27.132,0.75,11.229,2.6505,0.2223
18,17.505,0.12882,21.42,11.031,-4.7278,24.093,27.248,26.356,0.75,11.355,2.6462,0.21946
19,18.477,0.13638,22.38,10.915,-4.6268,24.9,26,25.612,0.75,11.483,2.641,0.21656
20,19.45,0.144,23.339,10.793,-4.5221,25.714,24.818,24.901,0.75,11.612,2.635,0.21362
21,20.422,0.15171,24.297,10.663,-4.4138,26.533,23.695,24.222,0.75,11.742,2.6281,0.21066
